Dataset,Window_Size,Step,Latent_Space,Num_Peaks
CMX1_AL_CP1.csv,30,5,8,95150
CMX1_AL_CP1.csv,30,5,16,98792
CMX1_AL_CP1.csv,30,5,32,115627
CMX1_AL_CP1.csv,30,5,64,98331
CMX1_AL_CP1.csv,30,10,8,57083
CMX1_AL_CP1.csv,30,10,16,58188
CMX1_AL_CP1.csv,30,10,32,59008
CMX1_AL_CP1.csv,30,10,64,58469
CMX1_AL_CP1.csv,60,5,8,207060
CMX1_AL_CP1.csv,60,5,16,202403
CMX1_AL_CP1.csv,60,5,32,183863
CMX1_AL_CP1.csv,60,5,64,183691
CMX1_AL_CP1.csv,60,10,8,111656
CMX1_AL_CP1.csv,60,10,16,99367
CMX1_AL_CP1.csv,60,10,32,121356
CMX1_AL_CP1.csv,60,10,64,120519
CMX1_AL_CP1.csv,100,5,8,187613
CMX1_AL_CP1.csv,100,5,16,214013
CMX1_AL_CP1.csv,100,5,32,204722
CMX1_AL_CP1.csv,100,5,64,269278
CMX1_AL_CP1.csv,100,10,8,129898
CMX1_AL_CP1.csv,100,10,16,157143
CMX1_AL_CP1.csv,100,10,32,165976
CMX1_AL_CP1.csv,100,10,64,177324
CMX1_AL_CP2.csv,30,5,8,13773
CMX1_AL_CP2.csv,30,5,16,14281
CMX1_AL_CP2.csv,30,5,32,13049
CMX1_AL_CP2.csv,30,5,64,18745
CMX1_AL_CP2.csv,30,10,8,7520
CMX1_AL_CP2.csv,30,10,16,9352
CMX1_AL_CP2.csv,30,10,32,10079
CMX1_AL_CP2.csv,30,10,64,9876
CMX1_AL_CP2.csv,60,5,8,17712
CMX1_AL_CP2.csv,60,5,16,20539
CMX1_AL_CP2.csv,60,5,32,22567
CMX1_AL_CP2.csv,60,5,64,21950
CMX1_AL_CP2.csv,60,10,8,11929
CMX1_AL_CP2.csv,60,10,16,12276
CMX1_AL_CP2.csv,60,10,32,14564
CMX1_AL_CP2.csv,60,10,64,18879
CMX1_AL_CP2.csv,100,5,8,7945
CMX1_AL_CP2.csv,100,5,16,30113
CMX1_AL_CP2.csv,100,5,32,29377
CMX1_AL_CP2.csv,100,5,64,46621
CMX1_AL_CP2.csv,100,10,8,6760
CMX1_AL_CP2.csv,100,10,16,16355
CMX1_AL_CP2.csv,100,10,32,15832
CMX1_AL_CP2.csv,100,10,64,23838
CMX1_S_CP1.csv,30,5,8,41622
CMX1_S_CP1.csv,30,5,16,40368
CMX1_S_CP1.csv,30,5,32,60263
CMX1_S_CP1.csv,30,5,64,53244
CMX1_S_CP1.csv,30,10,8,26825
CMX1_S_CP1.csv,30,10,16,32881
CMX1_S_CP1.csv,30,10,32,30761
CMX1_S_CP1.csv,30,10,64,35031
CMX1_S_CP1.csv,60,5,8,92988
CMX1_S_CP1.csv,60,5,16,110360
CMX1_S_CP1.csv,60,5,32,92081
CMX1_S_CP1.csv,60,5,64,83448
CMX1_S_CP1.csv,60,10,8,54157
CMX1_S_CP1.csv,60,10,16,47744
CMX1_S_CP1.csv,60,10,32,51749
CMX1_S_CP1.csv,60,10,64,54952
CMX1_S_CP1.csv,100,5,8,76490
CMX1_S_CP1.csv,100,5,16,101308
CMX1_S_CP1.csv,100,5,32,98975
CMX1_S_CP1.csv,100,5,64,125385
CMX1_S_CP1.csv,100,10,8,85648
CMX1_S_CP1.csv,100,10,16,65782
CMX1_S_CP1.csv,100,10,32,82352
CMX1_S_CP1.csv,100,10,64,71975
CMX1_S_CP2.csv,30,5,8,8308
CMX1_S_CP2.csv,30,5,16,7020
CMX1_S_CP2.csv,30,5,32,6617
CMX1_S_CP2.csv,30,5,64,8995
CMX1_S_CP2.csv,30,10,8,3778
CMX1_S_CP2.csv,30,10,16,4915
CMX1_S_CP2.csv,30,10,32,5341
CMX1_S_CP2.csv,30,10,64,5725
CMX1_S_CP2.csv,60,5,8,4705
CMX1_S_CP2.csv,60,5,16,10490
CMX1_S_CP2.csv,60,5,32,9026
CMX1_S_CP2.csv,60,5,64,11192
CMX1_S_CP2.csv,60,10,8,4584
CMX1_S_CP2.csv,60,10,16,5732
CMX1_S_CP2.csv,60,10,32,6974
CMX1_S_CP2.csv,60,10,64,9762
CMX1_S_CP2.csv,100,5,8,6175
CMX1_S_CP2.csv,100,5,16,15696
CMX1_S_CP2.csv,100,5,32,10352
CMX1_S_CP2.csv,100,5,64,14639
CMX1_S_CP2.csv,100,10,8,5333
CMX1_S_CP2.csv,100,10,16,6824
CMX1_S_CP2.csv,100,10,32,5373
CMX1_S_CP2.csv,100,10,64,8536
DMC2_AL_CP1.csv,30,5,8,74057
DMC2_AL_CP1.csv,30,5,16,80544
DMC2_AL_CP1.csv,30,5,32,129785
DMC2_AL_CP1.csv,30,5,64,104604
DMC2_AL_CP1.csv,30,10,8,47000
DMC2_AL_CP1.csv,30,10,16,55754
DMC2_AL_CP1.csv,30,10,32,62925
DMC2_AL_CP1.csv,30,10,64,58691
DMC2_AL_CP1.csv,60,5,8,81063
DMC2_AL_CP1.csv,60,5,16,179884
DMC2_AL_CP1.csv,60,5,32,195058
DMC2_AL_CP1.csv,60,5,64,233714
DMC2_AL_CP1.csv,60,10,8,42925
DMC2_AL_CP1.csv,60,10,16,62281
DMC2_AL_CP1.csv,60,10,32,74373
DMC2_AL_CP1.csv,60,10,64,117666
DMC2_AL_CP1.csv,100,5,8,69782
DMC2_AL_CP1.csv,100,5,16,281459
DMC2_AL_CP1.csv,100,5,32,310485
DMC2_AL_CP1.csv,100,5,64,215416
DMC2_AL_CP1.csv,100,10,8,48434
DMC2_AL_CP1.csv,100,10,16,57640
DMC2_AL_CP1.csv,100,10,32,134217
DMC2_AL_CP1.csv,100,10,64,169268
DMC2_AL_CP2.csv,30,5,8,12376
DMC2_AL_CP2.csv,30,5,16,11523
DMC2_AL_CP2.csv,30,5,32,14744
DMC2_AL_CP2.csv,30,5,64,15439
DMC2_AL_CP2.csv,30,10,8,7623
DMC2_AL_CP2.csv,30,10,16,8189
DMC2_AL_CP2.csv,30,10,32,8004
DMC2_AL_CP2.csv,30,10,64,8210
DMC2_AL_CP2.csv,60,5,8,19052
DMC2_AL_CP2.csv,60,5,16,19149
DMC2_AL_CP2.csv,60,5,32,24398
DMC2_AL_CP2.csv,60,5,64,20525
DMC2_AL_CP2.csv,60,10,8,10693
DMC2_AL_CP2.csv,60,10,16,11660
DMC2_AL_CP2.csv,60,10,32,12748
DMC2_AL_CP2.csv,60,10,64,15373
DMC2_AL_CP2.csv,100,5,8,16150
DMC2_AL_CP2.csv,100,5,16,24998
DMC2_AL_CP2.csv,100,5,32,29658
DMC2_AL_CP2.csv,100,5,64,30896
DMC2_AL_CP2.csv,100,10,8,13138
DMC2_AL_CP2.csv,100,10,16,12222
DMC2_AL_CP2.csv,100,10,32,15324
DMC2_AL_CP2.csv,100,10,64,15299
DMC2_S_CP1.csv,30,5,8,53286
DMC2_S_CP1.csv,30,5,16,55899
DMC2_S_CP1.csv,30,5,32,46005
DMC2_S_CP1.csv,30,5,64,64601
DMC2_S_CP1.csv,30,10,8,31726
DMC2_S_CP1.csv,30,10,16,28153
DMC2_S_CP1.csv,30,10,32,32774
DMC2_S_CP1.csv,30,10,64,35965
DMC2_S_CP1.csv,60,5,8,78413
DMC2_S_CP1.csv,60,5,16,131368
DMC2_S_CP1.csv,60,5,32,108039
DMC2_S_CP1.csv,60,5,64,71415
DMC2_S_CP1.csv,60,10,8,66693
DMC2_S_CP1.csv,60,10,16,54943
DMC2_S_CP1.csv,60,10,32,45702
DMC2_S_CP1.csv,60,10,64,65932
DMC2_S_CP1.csv,100,5,8,75480
DMC2_S_CP1.csv,100,5,16,144602
DMC2_S_CP1.csv,100,5,32,113808
DMC2_S_CP1.csv,100,5,64,139129
DMC2_S_CP1.csv,100,10,8,60138
DMC2_S_CP1.csv,100,10,16,73190
DMC2_S_CP1.csv,100,10,32,88265
DMC2_S_CP1.csv,100,10,64,83241
DMC2_S_CP2.csv,30,5,8,7338
DMC2_S_CP2.csv,30,5,16,7088
DMC2_S_CP2.csv,30,5,32,8705
DMC2_S_CP2.csv,30,5,64,9496
DMC2_S_CP2.csv,30,10,8,4432
DMC2_S_CP2.csv,30,10,16,4194
DMC2_S_CP2.csv,30,10,32,5127
DMC2_S_CP2.csv,30,10,64,5252
DMC2_S_CP2.csv,60,5,8,10572
DMC2_S_CP2.csv,60,5,16,11489
DMC2_S_CP2.csv,60,5,32,16295
DMC2_S_CP2.csv,60,5,64,13335
DMC2_S_CP2.csv,60,10,8,5608
DMC2_S_CP2.csv,60,10,16,5622
DMC2_S_CP2.csv,60,10,32,5614
DMC2_S_CP2.csv,60,10,64,8129
DMC2_S_CP2.csv,100,5,8,4337
DMC2_S_CP2.csv,100,5,16,9136
DMC2_S_CP2.csv,100,5,32,9701
DMC2_S_CP2.csv,100,5,64,13032
DMC2_S_CP2.csv,100,10,8,4146
DMC2_S_CP2.csv,100,10,16,6540
DMC2_S_CP2.csv,100,10,32,6283
DMC2_S_CP2.csv,100,10,64,8279
