LOAD|1,LOAD|2,LOAD|3,LOAD|6,ENC_POS|1,ENC_POS|2,ENC_POS|3,ENC_POS|6,CTRL_DIFF2|1,CTRL_DIFF2|2,CTRL_DIFF2|3,CTRL_DIFF2|6,TORQUE|1,TORQUE|2,TORQUE|3,TORQUE|6,DES_POS|1,DES_POS|2,DES_POS|3,DES_POS|6,CTRL_DIFF|1,CTRL_DIFF|2,CTRL_DIFF|3,CTRL_DIFF|6,CTRL_POS|1,CTRL_POS|2,CTRL_POS|3,CTRL_POS|6,VEL_FFW|1,VEL_FFW|2,VEL_FFW|3,VEL_FFW|6,CONT_DEV|1,CONT_DEV|2,CONT_DEV|3,CONT_DEV|6,CMD_SPEED|1,CMD_SPEED|2,CMD_SPEED|3,CMD_SPEED|6,TORQUE_FFW|1,TORQUE_FFW|2,TORQUE_FFW|3,TORQUE_FFW|6,ENC1_POS|1,ENC1_POS|2,ENC1_POS|3,ENC1_POS|6,ENC2_POS|1,ENC2_POS|2,ENC2_POS|3,ENC2_POS|6,CURRENT|1,CURRENT|2,CURRENT|3,CURRENT|6
1.135254,6.091309,0.305176,4.418945,3.197385,334.270607,378.336254,245712.380179,0.000355,-0.000607,-0.000244,-14.852179,-1.123047,-6.036377,-0.244141,-5.106868,3.29914,334.27,378.33601,245791.128,0.000355,-0.000607,-0.000244,0.0,3.19774,334.27,378.33601,245697.528,7.8,0.0,0.0,15600.0,0.000355,-0.000607,-0.000244,0.0,7.811841,-0.020247,-0.00813,15600.0,0.0,0.0,0.0,0.0,3.220171,334.305801,378.334389,245712.380179,3.197385,334.270607,378.336254,0.0,-0.908203,-4.838867,-0.151367,-2.496826
0.55542,8.093262,0.268555,4.11377,-21.013445,282.933254,378.336479,88352.058295,-0.000335,-0.000345,-0.000469,-12.174295,0.531006,-8.178711,-0.286865,-5.728179,-21.079958,282.984401,378.33601,88417.284,-0.000335,-0.000345,-0.000469,0.0,-21.01378,282.932909,378.33601,88339.884,-5.080978,3.973181,0.0,12900.0,-0.000335,-0.000345,-0.000469,0.0,-5.092145,3.961696,-0.015617,12900.0,0.0,0.0,0.0,0.0,-21.011233,282.987073,378.334491,88352.058295,-21.013445,282.933254,378.336479,0.0,0.429688,-6.538086,-0.214844,-2.307129
0.384521,6.445312,0.531006,0.091553,22.199973,284.269982,483.33601,356.564673,1.7e-05,1.8e-05,0.0,-1.028673,-0.384521,-6.445312,0.524902,-0.227309,22.19999,284.27,483.33601,355.536,1.7e-05,1.8e-05,0.0,0.0,22.19999,284.27,483.33601,355.536,0.0,0.0,0.0,0.0,1.7e-05,1.8e-05,0.0,0.0,0.000578,0.000586,0.0,0.0,0.0,0.0,0.0,0.0,22.214556,284.310151,483.319694,356.564673,22.199973,284.269982,483.33601,0.0,-0.307617,-5.151367,0.424805,-0.056396
0.714111,7.281494,0.500488,2.441406,-22.726258,318.117834,378.336137,566960.843314,-0.000779,0.000858,-0.000127,-14.279314,-0.78125,-7.312012,-0.427246,-2.955013,-22.717115,318.207188,378.33601,567034.764,-0.000779,0.000858,-0.000127,0.0,-22.727037,318.118692,378.33601,566946.564,0.787579,6.804573,0.0,14700.0,-0.000779,0.000858,-0.000127,0.0,0.76162,6.83317,-0.004224,14700.0,0.0,0.0,0.0,0.0,-22.721028,318.159538,378.333608,566960.843314,-22.726258,318.117834,378.336137,0.0,-0.615234,-5.864258,-0.375977,-1.343262
0.518799,6.323242,0.537109,2.89917,-6.396131,329.270402,378.33641,615213.450812,-0.000129,-0.000402,-0.0004,-15.138812,-0.537109,-6.488037,-0.097656,-3.212629,-6.29486,329.27,378.33601,615291.912,-0.000129,-0.000402,-0.0004,0.0,-6.39626,329.27,378.33601,615198.312,7.8,0.0,0.0,15600.0,-0.000129,-0.000402,-0.0004,0.0,7.795695,-0.013411,-0.013339,15600.0,0.0,0.0,0.0,0.0,-6.374339,329.307968,378.333775,615213.450812,-6.396131,329.270402,378.33641,0.0,-0.419922,-5.229492,-0.214844,-1.589355
0.488281,5.603027,0.195312,4.766846,27.200119,301.512111,378.335912,346973.845099,-0.000129,6.9e-05,9.8e-05,-16.621099,0.518799,-5.706787,-0.189209,-4.80379,27.19999,301.399081,378.33601,347061.624,-0.000129,6.9e-05,9.8e-05,0.0,27.19999,301.512181,378.33601,346957.224,0.0,-8.7,0.0,17400.0,-0.000129,6.9e-05,9.8e-05,0.0,-0.004305,-8.69769,0.003263,17400.0,0.0,0.0,0.0,0.0,27.209045,301.545005,378.334703,346973.845099,27.200119,301.512111,378.335912,0.0,0.415039,-4.536133,-0.131836,-2.640381
1.330566,7.086182,0.317383,3.369141,-17.22577,289.843928,378.335834,856348.711127,8.5e-05,0.000398,0.000176,-13.975127,-1.306152,-7.397461,-0.256348,-4.152172,-17.159499,289.910511,378.33601,856421.136,8.5e-05,0.000398,0.000176,0.0,-17.225684,289.844326,378.33601,856334.736,5.091169,5.091169,0.0,14400.0,8.5e-05,0.000398,0.000176,0.0,5.094007,5.104432,0.005867,14400.0,0.0,0.0,0.0,0.0,-17.211072,289.886915,378.333916,856348.711127,-17.22577,289.843928,378.335834,0.0,-1.05957,-5.922852,-0.214844,-1.871338
1.165771,7.824707,0.250244,3.955078,-8.940975,279.269797,378.336361,61688.62995,0.000965,0.000203,-0.000351,-11.29395,1.141357,-7.836914,-0.244141,-5.910026,-9.01801,279.27,378.33601,61749.336,0.000965,0.000203,-0.000351,0.0,-8.94001,279.27,378.33601,61677.336,-6.0,0.0,0.0,12000.0,0.000965,0.000203,-0.000351,0.0,-5.967846,0.006771,-0.011711,12000.0,0.0,0.0,0.0,0.0,-8.945144,279.323326,378.334642,61688.62995,-8.940975,279.269797,378.336361,0.0,0.932617,-6.274414,-0.200195,-2.199463
0.238037,6.109619,0.305176,2.935791,22.199787,305.009621,378.336479,712956.505011,0.000203,-4e-05,-0.000469,-16.897011,0.231934,-6.201172,-0.305176,-3.091398,22.19999,304.896481,378.33601,713044.008,0.000203,-4e-05,-0.000469,0.0,22.19999,305.009581,378.33601,712939.608,0.0,-8.7,0.0,17400.0,0.000203,-4e-05,-0.000469,0.0,0.006763,-8.701349,-0.015617,17400.0,0.0,0.0,0.0,0.0,22.211308,305.047122,378.333954,712956.505011,22.199787,305.009621,378.336479,0.0,0.180664,-4.926758,-0.268555,-1.676514
0.164795,5.383301,0.213623,4.6875,26.150773,322.734621,378.335951,302733.417166,0.001068,0.000823,5.9e-05,-15.741166,-0.158691,-5.67627,-0.158691,-4.955329,26.188094,322.634507,378.33601,302816.676,0.001068,0.000823,5.9e-05,0.0,26.151841,322.735444,378.33601,302717.676,2.764696,-7.772963,0.0,16500.0,0.001068,0.000823,5.9e-05,0.0,2.80029,-7.745531,0.001961,16500.0,0.0,0.0,0.0,0.0,26.161794,322.765063,378.334653,302733.417166,26.150773,322.734621,378.335951,0.0,-0.12207,-4.516602,-0.146484,-2.57373
