Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
60,-1.4919431,-1.5904335,0.09849036,0
61,-1.5124494,-1.6100608,0.09761143,0
62,-1.4765621,-1.5757165,0.09915435,0
63,-1.4868177,-1.5855373,0.0987196,0
64,-1.4816875,-1.5806317,0.09894419,0
65,-1.4970684,-1.5953583,0.09828985,0
66,-1.4970684,-1.5953678,0.098299384,0
67,-1.4970684,-1.5953678,0.098299384,0
68,-1.5021986,-1.600283,0.09808445,0
69,-1.522705,-1.6199104,0.0972054,0
70,-1.5278302,-1.6248208,0.096990585,0
71,-1.5329604,-1.6297312,0.09677076,0
72,-1.522705,-1.6199151,0.09721017,0
73,-1.4868177,-1.5855613,0.09874356,0
74,-1.5021986,-1.600283,0.09808445,0
75,-1.4868177,-1.585566,0.09874833,0
76,-1.5124494,-1.6100991,0.09764969,0
77,-1.4765621,-1.5757548,0.09919262,0
78,-1.4868177,-1.585566,0.09874833,0
79,-1.4816875,-1.5806651,0.098977566,0
80,-1.5021986,-1.6002973,0.098098755,0
81,-1.4970684,-1.5954012,0.09833276,0
82,-1.4970684,-1.5954059,0.09833753,0
83,-1.5021986,-1.6003212,0.0981226,0
84,-1.522705,-1.6199437,0.09723878,0
85,-1.522705,-1.6199437,0.09723878,0
86,-1.5380858,-1.6346655,0.09657967,0
87,-1.5278302,-1.6248494,0.097019196,0
88,-1.4919431,-1.5905004,0.098557234,0
89,-1.507324,-1.6052269,0.097902894,0
90,-1.4919431,-1.5905099,0.09856677,0
91,-1.5175796,-1.6150477,0.09746814,0
92,-1.4765621,-1.5757977,0.099235535,0
93,-1.4816875,-1.5807034,0.09901583,0
94,-1.4765621,-1.5757881,0.099226,0
95,-1.4970684,-1.5954204,0.098351955,0
96,-1.4919431,-1.5905194,0.09857631,0
97,-1.4919431,-1.5905194,0.09857631,0
98,-1.5021986,-1.6003402,0.09814167,0
99,-1.5175796,-1.615062,0.09748244,0
100,-1.522705,-1.6199629,0.09725797,0
101,-1.5329604,-1.629779,0.09681857,0
102,-1.522705,-1.6199629,0.09725797,0
103,-1.4868177,-1.585609,0.09879124,0
104,-1.4970684,-1.5954204,0.098351955,0
105,-1.4868177,-1.585609,0.09879124,0
106,-1.507324,-1.6052316,0.09790766,0
107,-1.4714367,-1.5708873,0.09945059,0
108,-1.4816875,-1.5807034,0.09901583,0
109,-1.4765621,-1.5757929,0.09923077,0
110,-1.4919431,-1.5905147,0.09857154,0
111,-1.4919431,-1.5905194,0.09857631,0
112,-1.4919431,-1.5905147,0.09857154,0
113,-1.4970684,-1.5954156,0.09834719,0
114,-1.5175796,-1.6150382,0.0974586,0
115,-1.5175796,-1.6150334,0.09745383,0
116,-1.5278302,-1.6248351,0.09700489,0
117,-1.5175796,-1.6150191,0.09743953,0
118,-1.4868177,-1.585566,0.09874833,0
119,-1.4970684,-1.5953773,0.09830892,0
120,-1.4816875,-1.5806508,0.09896326,0
121,-1.507324,-1.6051838,0.09785986,0
122,-1.4663115,-1.5659243,0.09961283,0
123,-1.4765621,-1.575726,0.09916389,0
124,-1.4765621,-1.575726,0.09916389,0
125,-1.4919431,-1.5904382,0.098495126,0
126,-1.4919431,-1.5904382,0.098495126,0
127,-1.4868177,-1.5855325,0.09871483,0
128,-1.4919431,-1.5904335,0.09849036,0
129,-1.5175796,-1.614957,0.09737742,0
130,-1.5175796,-1.6149474,0.09736788,0
131,-1.5278302,-1.624754,0.09692371,0
132,-1.5124494,-1.6100227,0.09757328,0
133,-1.4816875,-1.5805792,0.098891616,0
134,-1.4919431,-1.5903857,0.098442554,0
135,-1.4816875,-1.5805696,0.09888208,0
136,-1.5021986,-1.6001922,0.09799361,0
137,-1.4611813,-1.5609279,0.099746585,0
138,-1.4714367,-1.5707248,0.099288106,0
139,-1.4663115,-1.5658097,0.09949827,0
140,-1.4868177,-1.5854228,0.09860504,0
141,-1.4868177,-1.585418,0.09860027,0
142,-1.4816875,-1.5805027,0.0988152,0
143,-1.4868177,-1.585394,0.09857631,0
144,-1.5124494,-1.6099175,0.09746814,0
145,-1.5124494,-1.609908,0.0974586,0
146,-1.5278302,-1.6246202,0.096789956,0
147,-1.5175796,-1.6147945,0.09721494,0
148,-1.4816875,-1.5804311,0.09874356,0
149,-1.4919431,-1.5902376,0.0982945,0
150,-1.4816875,-1.5804168,0.09872925,0
151,-1.5021986,-1.6000298,0.09783125,0
152,-1.4663115,-1.5656807,0.09936929,0
153,-1.4714367,-1.5705768,0.09914005,0
154,-1.4714367,-1.570572,0.09913528,0
155,-1.4868177,-1.5852842,0.098466516,0
156,-1.4868177,-1.5852842,0.098466516,0
157,-1.4868177,-1.5852842,0.098466516,0
158,-1.4919431,-1.5901755,0.09823239,0
159,-1.507324,-1.6048925,0.09756851,0
160,-1.5124494,-1.6097838,0.097334385,0
161,-1.5278302,-1.6245008,0.09667051,0
162,-1.5124494,-1.6097647,0.09731531,0
163,-1.4816875,-1.5803212,0.09863365,0
164,-1.4919431,-1.5901277,0.098184586,0
165,-1.4765621,-1.5754012,0.098839045,0
166,-1.5021986,-1.5999342,0.09773564,0
167,-1.4611813,-1.5606748,0.0994935,0
168,-1.4714367,-1.5704813,0.09904456,0
169,-1.4663115,-1.5655708,0.09925938,0
170,-1.4868177,-1.5851886,0.09837091,0
171,-1.4868177,-1.5851886,0.09837091,0
172,-1.4816875,-1.5802735,0.09858596,0
173,-1.4868177,-1.5851791,0.09836137,0
174,-1.507324,-1.6047921,0.09746814,0
175,-1.5124494,-1.6096883,0.0972389,0
176,-1.522705,-1.6194996,0.096794605,0
177,-1.5124494,-1.609674,0.09722459,0
178,-1.4765621,-1.57532,0.09875786,0
179,-1.4919431,-1.590037,0.09809387,0
180,-1.4765621,-1.5753105,0.09874833,0
181,-1.5021986,-1.5998435,0.097644925,0
182,-1.4611813,-1.560584,0.099402666,0
183,-1.4714367,-1.5703952,0.09895849,0
184,-1.4663115,-1.5654801,0.09916866,0
185,-1.4868177,-1.5851027,0.09828496,0
186,-1.4868177,-1.5851027,0.09828496,0
187,-1.4868177,-1.5851027,0.09828496,0
188,-1.4919431,-1.5900084,0.09806526,0
189,-1.507324,-1.6047205,0.09739649,0
190,-1.5124494,-1.6096262,0.09717679,0
191,-1.5278302,-1.6243384,0.096508145,0
192,-1.5124494,-1.6096166,0.09716725,0
193,-1.4765621,-1.5752676,0.09870541,0
194,-1.4868177,-1.5850741,0.09825635,0
195,-1.4765621,-1.5752579,0.098695755,0
196,-1.4970684,-1.5948806,0.097812176,0
197,-1.4611813,-1.5605363,0.09935498,0
198,-1.4663115,-1.5654466,0.09913516,0
199,-1.4663115,-1.5654418,0.09913039,0
200,-1.4816875,-1.5801588,0.098471284,0
201,-1.4868177,-1.5850644,0.09824669,0
202,-1.4816875,-1.5801636,0.09847605,0
203,-1.4919431,-1.5899796,0.09803653,0
204,-1.507324,-1.6046966,0.09737265,0
205,-1.5124494,-1.6095974,0.09714806,0
206,-1.5278302,-1.6243192,0.09648895,0
207,-1.5124494,-1.6095879,0.097138524,0
208,-1.4816875,-1.5801493,0.09846175,0
209,-1.4919431,-1.5899558,0.098012686,0
210,-1.4816875,-1.5801493,0.09846175,0
211,-1.507324,-1.6046871,0.097363114,0
212,-1.4663115,-1.5654371,0.09912562,0
213,-1.4765621,-1.5752484,0.09868622,0
214,-1.4714367,-1.5703475,0.09891081,0
215,-1.4868177,-1.5850644,0.09824669,0
216,-1.4919431,-1.5899796,0.09803653,0
217,-1.4868177,-1.5850741,0.09825635,0
218,-1.4919431,-1.5899796,0.09803653,0
219,-1.5124494,-1.6096071,0.09715772,0
220,-1.5175796,-1.6145175,0.096937895,0
221,-1.5278302,-1.6243287,0.09649849,0
222,-1.5175796,-1.6145175,0.096937895,0
223,-1.4816875,-1.5801636,0.09847605,0
224,-1.4919431,-1.5899796,0.09803653,0
225,-1.4816875,-1.5801731,0.09848559,0
226,-1.5021986,-1.5998054,0.09760678,0
227,-1.4663115,-1.5654609,0.099149466,0
228,-1.4765621,-1.5752723,0.09871018,0
229,-1.4714367,-1.5703714,0.09893465,0
230,-1.4868177,-1.5850931,0.09827542,0
231,-1.4919431,-1.5900084,0.09806526,0
232,-1.4868177,-1.5851074,0.09828973,0
233,-1.4970684,-1.5949283,0.09785986,0
234,-1.5124494,-1.6096548,0.0972054,0
235,-1.5124494,-1.6096548,0.0972054,0
236,-1.5278302,-1.6243718,0.096541524,0
237,-1.5175796,-1.6145653,0.0969857,0
238,-1.4868177,-1.5851218,0.09830403,0
239,-1.4970684,-1.5949379,0.097869515,0
240,-1.4816875,-1.5802257,0.09853816,0
241,-1.5124494,-1.609674,0.09722459,0
242,-1.4714367,-1.5704335,0.09899676,0
243,-1.4816875,-1.5802495,0.098562,0
244,-1.4765621,-1.5753535,0.09879136,0
245,-1.4919431,-1.5900753,0.09813213,0
246,-1.4919431,-1.5900848,0.09814167,0
247,-1.4919431,-1.5900848,0.09814167,0
248,-1.4970684,-1.5949999,0.097931504,0
249,-1.5124494,-1.6097264,0.097277045,0
250,-1.5175796,-1.6146369,0.09705734,0
251,-1.5329604,-1.6293634,0.096403,0
252,-1.5175796,-1.6146417,0.09706211,0
253,-1.4868177,-1.5852078,0.0983901,0
254,-1.4970684,-1.5950286,0.09796023,0
255,-1.4868177,-1.5852269,0.098409176,0
256,-1.507324,-1.6048638,0.09753978,0
257,-1.4663115,-1.5656186,0.09930718,0
258,-1.4765621,-1.5754347,0.09887254,0
259,-1.4714367,-1.5705338,0.09909701,0
260,-1.4868177,-1.5852507,0.09843302,0
261,-1.4919431,-1.5901707,0.09822762,0
262,-1.4868177,-1.5852747,0.09845698,0
263,-1.4919431,-1.5901755,0.09823239,0
264,-1.5124494,-1.6098077,0.097358346,0
265,-1.5175796,-1.6147181,0.097138524,0
266,-1.5278302,-1.6245246,0.09669435,0
267,-1.5124494,-1.6098028,0.09735346,0
268,-1.4816875,-1.5803642,0.09867668,0
269,-1.4919431,-1.5901755,0.09823239,0
270,-1.4765621,-1.5754585,0.098896384,0
271,-1.5021986,-1.5999868,0.097788215,0
272,-1.4663115,-1.5656472,0.09933579,0
273,-1.4714367,-1.5705434,0.09910667,0
274,-1.4714367,-1.5705434,0.09910667,0
275,-1.4868177,-1.585265,0.09844732,0
276,-1.4868177,-1.585265,0.09844732,0
277,-1.4868177,-1.5852698,0.09845209,0
278,-1.4919431,-1.5901707,0.09822762,0
279,-1.507324,-1.6048877,0.09756374,0
280,-1.5124494,-1.6097885,0.09733915,0
281,-1.5278302,-1.6245055,0.09667528,0
282,-1.5124494,-1.609779,0.09732962,0
283,-1.4816875,-1.5803404,0.09865284,0
284,-1.4919431,-1.5901564,0.098213315,0
285,-1.4765621,-1.5754299,0.098867774,0
286,-1.5021986,-1.5999677,0.09776914,0
287,-1.4663115,-1.5656282,0.099316716,0
288,-1.4714367,-1.570529,0.099092245,0
289,-1.4663115,-1.5656186,0.09930718,0
290,-1.4816875,-1.5803307,0.09864318,0
291,-1.4816875,-1.580326,0.098638415,0
292,-1.4868177,-1.5852364,0.09841871,0
293,-1.4919431,-1.5901421,0.09819901,0
294,-1.507324,-1.6048542,0.097530246,0
295,-1.5124494,-1.6097552,0.097305775,0
296,-1.5278302,-1.6244721,0.0966419,0
297,-1.5124494,-1.6097504,0.09730101,0
298,-1.4765621,-1.5753964,0.098834276,0
299,-1.4868177,-1.5851982,0.09838045,0
300,-1.4765621,-1.5753821,0.09881997,0
301,-1.4970684,-1.5949999,0.097931504,0
302,-1.4611813,-1.5606413,0.099460006,0
303,-1.4663115,-1.5655375,0.099226,0
304,-1.4611813,-1.5606174,0.099436164,0
305,-1.4816875,-1.58024,0.098552465,0
306,-1.4816875,-1.5802352,0.0985477,0
307,-1.4816875,-1.5802305,0.09854293,0
308,-1.4868177,-1.5851313,0.09831357,0
309,-1.507324,-1.6047492,0.09742522,0
310,-1.507324,-1.6047397,0.097415686,0
311,-1.522705,-1.6194422,0.096737266,0
312,-1.507324,-1.6047157,0.097391725,0
313,-1.4765621,-1.5752676,0.09870541,0
314,-1.4868177,-1.5850693,0.09825158,0
315,-1.4714367,-1.5703428,0.09890604,0
316,-1.4970684,-1.5948614,0.09779298,0
317,-1.4560559,-1.5556067,0.09955084,0
318,-1.4663115,-1.5654132,0.09910178,0
319,-1.4611813,-1.5604932,0.09931195,0
320,-1.4816875,-1.5801206,0.09843302,0
321,-1.4816875,-1.5801158,0.09842825,0
322,-1.4765621,-1.5752007,0.098638535,0
323,-1.4816875,-1.5801015,0.098413944,0
324,-1.4970684,-1.5948042,0.09773576,0
325,-1.507324,-1.6046107,0.0972867,0
326,-1.522705,-1.6193275,0.096622586,0
327,-1.507324,-1.6045963,0.09727228,0
328,-1.4714367,-1.5702424,0.098805666,0
329,-1.4816875,-1.5800442,0.098356605,0
330,-1.4714367,-1.5702376,0.0988009,0
331,-1.4970684,-1.5947611,0.09769273,0
332,-1.4560559,-1.5555063,0.09945047,0
333,-1.4663115,-1.5653129,0.09900141,0
334,-1.4560559,-1.5554873,0.099431396,0
335,-1.4765621,-1.5751003,0.09853816,0
336,-1.4816875,-1.5800108,0.098323226,0
337,-1.4765621,-1.5750955,0.09853339,0
338,-1.4816875,-1.5800012,0.09831369,0
339,-1.5021986,-1.599619,0.097420454,0
340,-1.5021986,-1.5996047,0.09740615,0
341,-1.5175796,-1.6143216,0.096742034,0
342,-1.507324,-1.604496,0.09717202,0
343,-1.4714367,-1.5701421,0.09870541,0
344,-1.4765621,-1.5750382,0.09847605,0
345,-1.4663115,-1.5652174,0.09890592,0
346,-1.4868177,-1.5848304,0.098012686,0
347,-1.4509257,-1.550467,0.09954131,0
348,-1.4611813,-1.5602735,0.099092245,0
349,-1.4509257,-1.5504478,0.099522114,0
350,-1.4714367,-1.5700753,0.098638535,0
351,-1.4765621,-1.5749809,0.09841871,0
352,-1.4714367,-1.570061,0.09862423,0
353,-1.4816875,-1.5798675,0.09817994,0
354,-1.4970684,-1.59457,0.097501636,0
355,-1.5021986,-1.599471,0.097272396,0
356,-1.5124494,-1.6092727,0.096823335,0
357,-1.5021986,-1.5994518,0.0972532,0
358,-1.4663115,-1.5650932,0.098781705,0
359,-1.4765621,-1.5748997,0.09833753,0
360,-1.4611813,-1.5601684,0.0989871,0
361,-1.4868177,-1.5846919,0.097874165,0
362,-1.4509257,-1.5503428,0.09941709,0
363,-1.4560559,-1.5552388,0.09918296,0
364,-1.4458003,-1.5454133,0.09961295,0
365,-1.4663115,-1.565031,0.0987196,0
366,-1.4714367,-1.569932,0.098495245,0
367,-1.4714367,-1.5699224,0.09848571,0
368,-1.4765621,-1.574828,0.09826589,0
369,-1.4919431,-1.5895307,0.097587585,0
370,-1.4970684,-1.594422,0.09735358,0
371,-1.5124494,-1.6091294,0.096680045,0
372,-1.5021986,-1.599318,0.09711945,0
373,-1.4663115,-1.5649594,0.09864795,0
374,-1.4714367,-1.5698556,0.09841883,0
375,-1.4611813,-1.5600299,0.09884858,0
376,-1.4816875,-1.5796477,0.097960114,0
377,-1.4458003,-1.5452986,0.09949827,0
378,-1.4509257,-1.55019,0.099264264,0
379,-1.4458003,-1.5452747,0.09947443,0
380,-1.4663115,-1.5648925,0.098581076,0
381,-1.4714367,-1.5697935,0.098356724,0
382,-1.4663115,-1.564883,0.09857154,0
383,-1.4714367,-1.569779,0.0983423,0
384,-1.4868177,-1.5844865,0.09766877,0
385,-1.4970684,-1.5942882,0.097219825,0
386,-1.507324,-1.60409,0.096765995,0
387,-1.4919431,-1.5893492,0.09740603,0
388,-1.4560559,-1.5549905,0.09893465,0
389,-1.4663115,-1.5647923,0.09848082,0
390,-1.4560559,-1.5549618,0.09890592,0
391,-1.4816875,-1.5794901,0.09780252,0
392,-1.440675,-1.5402257,0.099550724,0
393,-1.4509257,-1.5500275,0.09910178,0
394,-1.440675,-1.5402019,0.09952688,0
395,-1.4611813,-1.5598149,0.09863365,0
396,-1.4663115,-1.5647159,0.09840441,0
397,-1.4663115,-1.564711,0.09839952,0
398,-1.4714367,-1.5696071,0.0981704,0
399,-1.4868177,-1.5843146,0.09749687,0
400,-1.4919431,-1.5892106,0.09726751,0
401,-1.5021986,-1.5990076,0.09680903,0
402,-1.4919431,-1.5891771,0.09723401,0
403,-1.4560559,-1.5548185,0.09876263,0
404,-1.4663115,-1.564625,0.09831357,0
405,-1.4509257,-1.5498937,0.09896803,0
406,-1.4765621,-1.5744172,0.09785509,0
407,-1.4355448,-1.5351577,0.09961283,0
408,-1.4458003,-1.5449547,0.09915435,0
409,-1.4355448,-1.5351338,0.09958899,0
410,-1.4560559,-1.5547469,0.09869099,0
411,-1.4611813,-1.5596478,0.098466516,0
412,-1.4560559,-1.5547326,0.09867668,0
413,-1.4611813,-1.5596238,0.098442554,0
414,-1.4816875,-1.5792321,0.09754455,0
415,-1.4868177,-1.5841235,0.097305775,0
416,-1.4970684,-1.5939205,0.096852064,0
417,-1.4816875,-1.5791844,0.09749687,0
418,-1.4509257,-1.5497266,0.0988009,0
419,-1.4560559,-1.5546227,0.09856677,0
420,-1.4458003,-1.5447971,0.09899676,0
421,-1.4714367,-1.5693206,0.09788382,0
422,-1.4304194,-1.5300562,0.09963679,0
423,-1.440675,-1.5398532,0.099178195,0
424,-1.4304194,-1.5300275,0.09960806,0
425,-1.4509257,-1.5496407,0.09871495,0
426,-1.4560559,-1.5545415,0.09848559,0
427,-1.4560559,-1.5545367,0.09848082,0
428,-1.4560559,-1.5545224,0.098466516,0
429,-1.4765621,-1.5741259,0.09756374,0
430,-1.4816875,-1.5790172,0.09732962,0
431,-1.4919431,-1.5888094,0.09686625,0
432,-1.4765621,-1.5740733,0.09751117,0
433,-1.4458003,-1.5446155,0.0988152,0
434,-1.4509257,-1.5495069,0.098581195,0
435,-1.440675,-1.5396764,0.09900141,0
436,-1.4611813,-1.5592799,0.098098636,0
437,-1.425294,-1.5249261,0.099632025,0
438,-1.4355448,-1.534723,0.099178195,0
439,-1.425294,-1.5249022,0.09960818,0
440,-1.4458003,-1.5445153,0.09871495,0
441,-1.4509257,-1.5494018,0.09847605,0
442,-1.4458003,-1.5444865,0.09868622,0
443,-1.4509257,-1.5493779,0.09845221,0
444,-1.4663115,-1.5640757,0.09776425,0
445,-1.4765621,-1.5738679,0.097305775,0
446,-1.4868177,-1.5836649,0.09684718,0
447,-1.4765621,-1.5738393,0.097277164,0
448,-1.440675,-1.5394758,0.09880078,0
449,-1.4509257,-1.5492775,0.098351836,0
450,-1.4304194,-1.5296311,0.09921169,0
451,-1.4560559,-1.554145,0.0980891,0
452,-1.4201639,-1.5197864,0.09962249,0
453,-1.4355448,-1.5344889,0.09894407,0
454,-1.4201639,-1.5197577,0.09959388,0
455,-1.440675,-1.539366,0.09869099,0
456,-1.4458003,-1.5442573,0.09845698,0
457,-1.440675,-1.5393373,0.09866226,0
458,-1.4458003,-1.5442239,0.0984236,0
459,-1.4611813,-1.5589217,0.09774041,0
460,-1.4714367,-1.5687139,0.097277164,0
461,-1.4816875,-1.5785061,0.09681857,0
462,-1.4663115,-1.5637605,0.097449064,0
463,-1.4355448,-1.5343027,0.09875786,0
464,-1.440675,-1.5391892,0.0985142,0
465,-1.425294,-1.5244532,0.09915912,0
466,-1.4509257,-1.5489671,0.098041415,0
467,-1.4150385,-1.5146084,0.09956992,0
468,-1.425294,-1.5244054,0.09911132,0
469,-1.4150385,-1.514575,0.09953654,0
470,-1.4304194,-1.5292776,0.09885812,0
471,-1.440675,-1.5390793,0.09840429,0
472,-1.4304194,-1.5292442,0.09882474,0
473,-1.4355448,-1.5341259,0.098581076,0
474,-1.4560559,-1.553739,0.09768307,0
475,-1.4611813,-1.5586208,0.09743953,0
476,-1.4714367,-1.568413,0.09697628,0
477,-1.4611813,-1.5585778,0.09739649,0
478,-1.4304194,-1.52912,0.09870052,0
479,-1.4355448,-1.5340065,0.09846163,0
480,-1.4201639,-1.5192704,0.09910655,0
481,-1.440675,-1.5388739,0.09819889,0
482,-1.4099132,-1.509421,0.09950781,0
483,-1.4150385,-1.5143027,0.099264264,0
484,-1.404783,-1.5044771,0.09969413,0
485,-1.4304194,-1.528991,0.09857154,0
486,-1.4355448,-1.5338824,0.09833753,0
487,-1.425294,-1.5240519,0.09875786,0
488,-1.4304194,-1.5289336,0.0985142,0
489,-1.4458003,-1.5436316,0.09783125,0
490,-1.4509257,-1.5485085,0.09758282,0
491,-1.4663115,-1.5632112,0.09689975,0
492,-1.4560559,-1.5533807,0.09732485,0
493,-1.425294,-1.5239182,0.09862411,0
494,-1.4304194,-1.5288048,0.098385334,0
495,-1.4099132,-1.5091583,0.09924507,0
496,-1.4355448,-1.5336722,0.098127365,0
497,-1.3996576,-1.4993135,0.09965587,0
498,-1.4099132,-1.5091057,0.0991925,0
499,-1.3945322,-1.4943649,0.099832654,0
500,-1.4201639,-1.5188693,0.09870541,0
501,-1.425294,-1.5237558,0.09846175,0
502,-1.4150385,-1.5139253,0.09888685,0
503,-1.4201639,-1.5188072,0.0986433,0
504,-1.440675,-1.5384154,0.09774041,0
505,-1.4458003,-1.5432924,0.0974921,0
506,-1.4611813,-1.5579854,0.09680414,0
507,-1.4458003,-1.5432398,0.09743953,0
508,-1.4150385,-1.5137773,0.09873879,0
509,-1.4201639,-1.518659,0.098495126,0
510,-1.404783,-1.5039182,0.09913516,0
511,-1.4304194,-1.5284321,0.098012686,0
512,-1.3945322,-1.4940735,0.09954131,0
513,-1.404783,-1.5038513,0.099068284,0
514,-1.3945322,-1.4940305,0.09949827,0
515,-1.4150385,-1.513634,0.0985955,0
516,-1.4201639,-1.5185205,0.098356605,0
517,-1.4099132,-1.5086901,0.09877694,0
518,-1.4150385,-1.5135671,0.09852862,0
519,-1.4355448,-1.5331706,0.09762573,0
520,-1.440675,-1.5380523,0.0973773,0
521,-1.4560559,-1.5527502,0.09669435,0
522,-1.440675,-1.5380094,0.097334385,0
523,-1.4099132,-1.5085468,0.09863365,0
524,-1.4201639,-1.518339,0.09817517,0
525,-1.3996576,-1.4986973,0.099039674,0
526,-1.425294,-1.5232112,0.0979172,0
527,-1.389402,-1.488843,0.09944093,0
528,-1.3996576,-1.4986352,0.098977566,0
529,-1.3842767,-1.4838943,0.0996176,0
530,-1.4099132,-1.5084083,0.098495126,0
531,-1.4201639,-1.5182053,0.098041415,0
532,-1.404783,-1.5034692,0.09868622,0
533,-1.4099132,-1.5083605,0.09844732,0
534,-1.4304194,-1.5279592,0.09753978,0
535,-1.4355448,-1.5328459,0.09730101,0
536,-1.4458003,-1.5426332,0.09683287,0
537,-1.440675,-1.5377084,0.09703338,0
538,-1.4099132,-1.5082507,0.09833753,0
539,-1.4150385,-1.5131372,0.098098755,0
540,-1.3945322,-1.4934955,0.09896326,0
541,-1.4201639,-1.5180094,0.097845554,0
542,-1.389402,-1.4885516,0.099149585,0
543,-1.3945322,-1.4934478,0.09891558,0
544,-1.3791513,-1.478707,0.09955561,0
545,-1.404783,-1.503216,0.09843302,0
546,-1.4150385,-1.5130225,0.097984076,0
547,-1.3996576,-1.4982817,0.09862411,0
548,-1.404783,-1.5031682,0.098385215,0
549,-1.4201639,-1.5178614,0.0976975,0
550,-1.425294,-1.5227479,0.09745383,0
551,-1.440675,-1.5374506,0.09677553,0
552,-1.4304194,-1.5276058,0.09718633,0
553,-1.3945322,-1.4932376,0.09870541,0
554,-1.3996576,-1.4981146,0.09845698,0
555,-1.3842767,-1.4833833,0.09910655,0
556,-1.4099132,-1.5078971,0.09798396,0
557,-1.3791513,-1.4784442,0.099292874,0
558,-1.3842767,-1.4833307,0.09905398,0
559,-1.3740212,-1.4735004,0.0994792,0
560,-1.3945322,-1.4931039,0.09857166,0
561,-1.404783,-1.5029008,0.09811783,0
562,-1.389402,-1.4881648,0.09876275,0
563,-1.3945322,-1.493056,0.098523855,0
564,-1.4099132,-1.5077538,0.09784067,0
565,-1.4201639,-1.5175365,0.09737265,0
566,-1.4304194,-1.527324,0.096904516,0
567,-1.4201639,-1.517484,0.09732008,0
568,-1.389402,-1.4880261,0.09862411,0
569,-1.3945322,-1.4929128,0.098380566,0
570,-1.3791513,-1.4781815,0.09903014,0
571,-1.3945322,-1.4928697,0.09833753,0
572,-1.3637704,-1.4634119,0.09964156,0
573,-1.3637704,-1.4633833,0.09961295,0
574,-1.3381339,-1.4388072,0.10067332,0
575,-1.3432641,-1.4436699,0.10040581,0
576,-1.3381339,-1.4387022,0.100568295,0
577,-1.3176277,-1.4190176,0.101389885,0
578,-1.2919912,-1.3944128,0.10242152,0
579,-1.2766103,-1.379586,0.102975726,0
580,-1.2612294,-1.36474,0.10351062,0
581,-1.2612294,-1.3646015,0.1033721,0
582,-1.2202168,-1.3252131,0.10499632,0
583,-1.174074,-1.2809284,0.10685432,0
584,-1.1638185,-1.2709452,0.10712671,0
585,-1.1228011,-1.2315422,0.108741164,0
586,-1.1279312,-1.2362521,0.10832083,0
587,-1.0817885,-1.1919388,0.11015022,0
588,-1.086914,-1.1966295,0.10971558,0
589,-1.0612775,-1.1719149,0.11063743,0
590,-1.071533,-1.1814922,0.109959245,0
591,-1.086914,-1.1959655,0.109051585,0
592,-1.0766584,-1.1859393,0.109280944,0
593,-1.0971694,-1.2053279,0.10815847,0
594,-2.112305,-2.1171627,0.0048577785,0
595,-4.060546,-3.777193,0.28335285,1
596,-6.3625503,-5.9072943,0.455256,1
597,-8.690186,-8.350528,0.33965778,1
598,-10.92041,-10.757301,0.16310883,0
599,-13.027588,-13.010378,0.017210007,0
600,-14.196532,-14.258481,0.061948776,0
601,-14.247803,-14.3106165,0.06281376,0
602,-13.581299,-13.586832,0.0055332184,0
603,-12.58667,-12.564186,0.022483826,0
604,-11.479249,-11.405449,0.07380009,0
605,-10.366697,-10.221986,0.1447115,0
606,-9.325929,-9.151775,0.17415333,0
607,-8.346681,-8.135155,0.21152592,0
608,-7.500733,-7.334748,0.1659851,0
609,-6.7470703,-6.6242785,0.12279177,0
610,-6.095947,-6.023341,0.07260561,0
611,-5.501221,-5.4805503,0.02067089,0
612,-4.9628897,-4.983128,0.0202384,0
613,-4.5270987,-4.5770626,0.04996395,0
614,-4.1169443,-4.169717,0.052772522,0
615,-3.7836895,-3.8151724,0.031482935,0
616,-3.4709458,-3.5050561,0.034110308,0
617,-3.1992195,-3.236191,0.03697157,0
618,-2.9941423,-3.0373187,0.043176413,0
619,-2.7941904,-2.8516443,0.05745387,0
620,-2.614745,-2.68533,0.07058501,0
621,-2.4455547,-2.529013,0.083458185,0
622,-2.317382,-2.4126673,0.09528518,0
623,-2.2045903,-2.3104033,0.10581303,0
624,-2.096924,-2.2174158,0.12049174,0
625,-1.9995131,-2.1358683,0.13635516,0
626,-1.8764659,-2.0354338,0.15896785,0
627,-1.794436,-1.9688039,0.1743679,0
