Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
120,-1.661133,-1.6774551,0.016322017,0
121,-1.6508776,-1.6679399,0.017062306,0
122,-1.661133,-1.6774741,0.01634109,0
123,-1.6457522,-1.6632015,0.01744926,0
124,-1.6149904,-1.6345652,0.01957488,0
125,-1.6303713,-1.6489,0.0185287,0
126,-1.6149904,-1.6345652,0.01957488,0
127,-1.6303713,-1.648881,0.018509626,0
128,-1.6457522,-1.6631393,0.017387152,0
129,-1.6662585,-1.682184,0.015925527,0
130,-1.6457522,-1.6631584,0.017406225,0
131,-1.6662585,-1.682203,0.0159446,0
132,-1.6713886,-1.6869798,0.015591145,0
133,-1.6252459,-1.644152,0.018906116,0
134,-1.6149904,-1.63457,0.019579649,0
135,-1.6201158,-1.6393706,0.019254804,0
136,-1.6457522,-1.6631489,0.017396688,0
137,-1.6201158,-1.639342,0.019226193,0
138,-1.6252459,-1.6440947,0.018848777,0
139,-1.6662585,-1.6821696,0.015911102,0
140,-1.6816394,-1.6964662,0.014826775,0
141,-1.6713886,-1.6869606,0.015571952,0
142,-1.661133,-1.6774503,0.016317248,0
143,-1.6406268,-1.6584247,0.017797947,0
144,-1.6252459,-1.644152,0.018906116,0
145,-1.6406268,-1.6584152,0.01778841,0
146,-1.6303713,-1.648881,0.018509626,0
147,-1.6149904,-1.6345605,0.019570112,0
148,-1.6252459,-1.6440995,0.018853545,0
149,-1.676514,-1.6916943,0.01518023,0
150,-1.676514,-1.6916991,0.015185118,0
151,-1.661133,-1.6774359,0.016302824,0
152,-1.6457522,-1.6631632,0.017410994,0
153,-1.661133,-1.6774551,0.016322017,0
154,-1.6457522,-1.663187,0.017434835,0
155,-1.609865,-1.6294255,0.019560575,0
156,-1.6252459,-1.6441233,0.018877387,0
157,-1.609865,-1.6294208,0.019555807,0
158,-1.6457522,-1.6631346,0.017382383,0
159,-1.6406268,-1.6583674,0.017740607,0
160,-1.6662585,-1.6821696,0.015911102,0
161,-1.6508776,-1.6679016,0.01702404,0
162,-1.6713886,-1.6869606,0.015571952,0
163,-1.676514,-1.6917278,0.015213728,0
164,-1.6303713,-1.6489,0.0185287,0
165,-1.6149904,-1.6345652,0.01957488,0
166,-1.6252459,-1.6441281,0.018882155,0
167,-1.6560078,-1.6726688,0.016661048,0
168,-1.6149904,-1.6345652,0.01957488,0
169,-1.6354966,-1.6536099,0.018113256,0
170,-1.6560078,-1.6726545,0.016646743,0
171,-1.6867696,-1.7012286,0.014459014,0
172,-1.661133,-1.6774406,0.016307592,0
173,-1.6713886,-1.6869702,0.015581608,0
174,-1.6303713,-1.6489048,0.018533468,0
175,-1.6354966,-1.6536672,0.018170595,0
176,-1.6354966,-1.6536576,0.01816094,0
177,-1.6406268,-1.6583961,0.017769337,0
178,-1.5996095,-1.619127,0.019517541,0
179,-1.6252459,-1.6440947,0.018848777,0
180,-1.676514,-1.6916895,0.015175462,0
181,-1.6713886,-1.6869367,0.01554811,0
182,-1.661133,-1.6774311,0.016298056,0
183,-1.6457522,-1.6631584,0.017406225,0
184,-1.6713886,-1.686975,0.015586376,0
185,-1.6457522,-1.6631775,0.017425299,0
186,-1.6201158,-1.6393753,0.019259572,0
187,-1.6252459,-1.6441233,0.018877387,0
188,-1.6201158,-1.6393563,0.019240499,0
189,-1.6406268,-1.6583817,0.017754912,0
190,-1.6457522,-1.6631298,0.017377615,0
191,-1.6713886,-1.6869367,0.01554811,0
192,-1.6508776,-1.6679112,0.017033577,0
193,-1.6662585,-1.682203,0.0159446,0
194,-1.6662585,-1.6822126,0.015954137,0
195,-1.6303713,-1.6489048,0.018533468,0
196,-1.6047349,-1.6242715,0.019536614,0
197,-1.6201158,-1.6393706,0.019254804,0
198,-1.6457522,-1.6631489,0.017396688,0
199,-1.6201158,-1.6393467,0.019230962,0
200,-1.6252459,-1.6440899,0.018844008,0
201,-1.6662585,-1.6821696,0.015911102,0
202,-1.676514,-1.6917039,0.015189886,0
203,-1.6662585,-1.6821983,0.015939832,0
204,-1.661133,-1.6774503,0.016317248,0
205,-1.6303713,-1.6489048,0.018533468,0
206,-1.6252459,-1.6441473,0.018901348,0
207,-1.6354966,-1.6536528,0.01815617,0
208,-1.6303713,-1.648881,0.018509626,0
209,-1.6047349,-1.6242715,0.019536614,0
210,-1.6303713,-1.6488522,0.018480897,0
211,-1.6713886,-1.686932,0.015543342,0
212,-1.6713886,-1.6869415,0.015552878,0
213,-1.6457522,-1.6631536,0.017401457,0
214,-1.6508776,-1.6679208,0.017043233,0
215,-1.661133,-1.6774551,0.016322017,0
216,-1.6457522,-1.6631823,0.017430067,0
217,-1.609865,-1.6294255,0.019560575,0
218,-1.6252459,-1.6441233,0.018877387,0
219,-1.6201158,-1.6393563,0.019240499,0
220,-1.6457522,-1.6631393,0.017387152,0
221,-1.6354966,-1.6536099,0.018113256,0
222,-1.661133,-1.677412,0.016278982,0
223,-1.6560078,-1.6726688,0.016661048,0
224,-1.6662585,-1.6821983,0.015939832,0
225,-1.6662585,-1.6822078,0.015949368,0
226,-1.6354966,-1.6536576,0.01816094,0
227,-1.609865,-1.6294255,0.019560575,0
228,-1.6252459,-1.6441329,0.018886924,0
229,-1.6508776,-1.6679112,0.017033577,0
230,-1.609865,-1.6294208,0.019555807,0
231,-1.6303713,-1.6488522,0.018480897,0
232,-1.6662585,-1.6821792,0.015920758,0
233,-1.6918949,-1.7059957,0.01410079,0
234,-1.661133,-1.6774406,0.016307592,0
235,-1.6662585,-1.6822126,0.015954137,0
236,-1.6354966,-1.6536672,0.018170595,0
237,-1.6406268,-1.6584343,0.017807484,0
238,-1.6303713,-1.6489048,0.018533468,0
239,-1.6354966,-1.6536433,0.018146634,0
240,-1.609865,-1.629416,0.019551039,0
241,-1.6354966,-1.6536242,0.01812756,0
242,-1.6816394,-1.6964614,0.014822006,0
243,-1.6713886,-1.686951,0.015562415,0
244,-1.6662585,-1.682203,0.0159446,0
245,-1.6508776,-1.6679351,0.017057538,0
246,-1.676514,-1.6917516,0.01523757,0
247,-1.6406268,-1.6584438,0.01781702,0
248,-1.6201158,-1.6394039,0.019288182,0
249,-1.6201158,-1.6393896,0.019273877,0
250,-1.6303713,-1.6489,0.0185287,0
251,-1.6354966,-1.6536433,0.018146634,0
252,-1.6406268,-1.6583961,0.017769337,0
253,-1.6662585,-1.6821983,0.015939832,0
254,-1.661133,-1.6774551,0.016322017,0
255,-1.6713886,-1.6869893,0.015600681,0
256,-1.6662585,-1.6822317,0.01597321,0
257,-1.6354966,-1.653691,0.018194437,0
258,-1.6047349,-1.6242715,0.019536614,0
259,-1.6303713,-1.6489143,0.018543005,0
260,-1.6457522,-1.6631775,0.017425299,0
261,-1.6149904,-1.6345652,0.01957488,0
262,-1.6201158,-1.6393563,0.019240499,0
263,-1.676514,-1.6917135,0.015199423,0
264,-1.6816394,-1.69649,0.014850616,0
265,-1.6662585,-1.6822174,0.015958905,0
266,-1.661133,-1.6774694,0.016336322,0
267,-1.6406268,-1.6584438,0.01781702,0
268,-1.6406268,-1.6584486,0.017821789,0
269,-1.6201158,-1.6393992,0.019283414,0
270,-1.6354966,-1.6536576,0.01816094,0
271,-1.5996095,-1.619127,0.019517541,0
272,-1.6354966,-1.6536385,0.018141866,0
273,-1.6713886,-1.6869558,0.0155671835,0
274,-1.6662585,-1.6821983,0.015939832,0
275,-1.6457522,-1.6631727,0.01742053,0
276,-1.661133,-1.6774598,0.016326785,0
277,-1.6662585,-1.6822413,0.015982866,0
278,-1.6354966,-1.6536863,0.018189669,0
279,-1.6047349,-1.6242715,0.019536614,0
280,-1.609865,-1.6294255,0.019560575,0
281,-1.6303713,-1.6488953,0.018523932,0
282,-1.6252459,-1.6441233,0.018877387,0
283,-1.6252459,-1.644109,0.018863082,0
284,-1.6457522,-1.6631393,0.017387152,0
285,-1.6560078,-1.6726736,0.016665816,0
286,-1.661133,-1.6774406,0.016307592,0
287,-1.661133,-1.6774503,0.016317248,0
288,-1.6252459,-1.6441376,0.018891692,0
289,-1.5996095,-1.619127,0.019517541,0
290,-1.6149904,-1.6345652,0.01957488,0
291,-1.6354966,-1.6536146,0.018118024,0
292,-1.5996095,-1.6191221,0.019512653,0
293,-1.6149904,-1.6345509,0.019560575,0
294,-1.661133,-1.6773834,0.016250372,0
295,-1.6816394,-1.6964376,0.014798164,0
296,-1.6457522,-1.663125,0.017372847,0
297,-1.6508776,-1.6678826,0.017004967,0
298,-1.6354966,-1.6536242,0.01812756,0
299,-1.6354966,-1.653629,0.018132329,0
300,-1.6047349,-1.6242667,0.019531846,0
301,-1.6201158,-1.639318,0.019202232,0
302,-1.5944841,-1.6139729,0.019488811,0
303,-1.6201158,-1.6392894,0.019173622,0
304,-1.6508776,-1.66783,0.016952395,0
305,-1.6508776,-1.6678348,0.016957164,0
306,-1.6406268,-1.6583245,0.017697692,0
307,-1.6406268,-1.6583292,0.01770246,0
308,-1.661133,-1.6773787,0.016245604,0
309,-1.6201158,-1.6393037,0.019187927,0
310,-1.5944841,-1.6139729,0.019488811,0
311,-1.5996095,-1.6191174,0.019507885,0
312,-1.6149904,-1.6344984,0.019508004,0
313,-1.6149904,-1.6344888,0.019498467,0
314,-1.6149904,-1.6344696,0.019479275,0
315,-1.6508776,-1.6677774,0.016899824,0
316,-1.6560078,-1.6725541,0.016546369,0
317,-1.661133,-1.6773261,0.016193032,0
318,-1.6508776,-1.6678109,0.016933322,0
319,-1.6201158,-1.6392606,0.019144893,0
320,-1.5996095,-1.6191126,0.019503117,0
321,-1.609865,-1.6294065,0.019541502,0
322,-1.6252459,-1.6439848,0.018738866,0
323,-1.6047349,-1.6242523,0.019517422,0
324,-1.5996095,-1.6191078,0.019498348,0
325,-1.661133,-1.6772592,0.016126156,0
326,-1.6713886,-1.6867934,0.01540482,0
327,-1.6508776,-1.6677583,0.01688075,0
328,-1.6457522,-1.6630056,0.017253399,0
329,-1.6354966,-1.6534952,0.017998576,0
330,-1.6303713,-1.6487424,0.018371105,0
331,-1.5996095,-1.6191078,0.019498348,0
332,-1.6149904,-1.6344315,0.019441128,0
333,-1.5893539,-1.6088141,0.019460201,0
334,-1.6252459,-1.6439227,0.018676758,0
335,-1.6457522,-1.6629483,0.01719606,0
336,-1.6508776,-1.6677058,0.01682818,0
337,-1.6354966,-1.6534426,0.017946005,0
338,-1.6508776,-1.667725,0.016847372,0
339,-1.661133,-1.6772544,0.016121387,0
340,-1.6252459,-1.6439419,0.01869595,0
341,-1.5996095,-1.6191031,0.01949358,0
342,-1.5996095,-1.6191031,0.01949358,0
343,-1.6252459,-1.6439036,0.018657684,0
344,-1.6149904,-1.6343741,0.019383788,0
345,-1.6201158,-1.6391126,0.018996835,0
346,-1.6406268,-1.6581477,0.017520905,0
347,-1.661133,-1.6771971,0.016064048,0
348,-1.661133,-1.6772114,0.016078353,0
349,-1.6560078,-1.6724491,0.016441345,0
350,-1.6201158,-1.6391461,0.019030333,0
351,-1.6149904,-1.6343837,0.019393325,0
352,-1.6149904,-1.6343741,0.019383788,0
353,-1.6303713,-1.6486278,0.018256426,0
354,-1.5996095,-1.6190983,0.019488811,0
355,-1.609865,-1.629392,0.019527078,0
356,-1.6662585,-1.6819022,0.015643716,0
357,-1.6816394,-1.6961987,0.014559269,0
358,-1.6457522,-1.6628909,0.01713872,0
359,-1.6508776,-1.6676533,0.016775727,0
360,-1.6457522,-1.6629004,0.017148256,0
361,-1.6354966,-1.6533853,0.017888665,0
362,-1.6047349,-1.6242476,0.019512653,0
363,-1.6252459,-1.6438367,0.018590808,0
364,-1.5996095,-1.6190935,0.019484043,0
365,-1.6303713,-1.6485704,0.018199086,0
366,-1.6508776,-1.6675912,0.01671362,0
367,-1.6560078,-1.6723583,0.016350508,0
368,-1.6457522,-1.662848,0.017095804,0
369,-1.6508776,-1.6676103,0.016732693,0
370,-1.6713886,-1.6866645,0.015275836,0
371,-1.6252459,-1.6438367,0.018590808,0
372,-1.6047349,-1.624238,0.019503117,0
373,-1.6047349,-1.624238,0.019503117,0
374,-1.6303713,-1.6485513,0.018180013,0
375,-1.6201158,-1.6390219,0.018906116,0
376,-1.6201158,-1.6390028,0.018887043,0
377,-1.661133,-1.6770777,0.0159446,0
378,-1.6713886,-1.6866167,0.015228033,0
379,-1.6662585,-1.6818687,0.015610218,0
380,-1.6560078,-1.6723535,0.01634574,0
381,-1.6201158,-1.6390505,0.018934727,0
382,-1.609865,-1.6293873,0.01952231,0
383,-1.6201158,-1.6390314,0.018915653,0
384,-1.6252459,-1.6437746,0.0185287,0
385,-1.6149904,-1.6342452,0.019254804,0
386,-1.6047349,-1.6242332,0.019498348,0
387,-1.6713886,-1.6865737,0.015185118,0
388,-1.676514,-1.6913408,0.014826775,0
389,-1.6560078,-1.6723201,0.01631236,0
390,-1.6457522,-1.662805,0.01705277,0
391,-1.6508776,-1.6675769,0.016699314,0
392,-1.6406268,-1.6580665,0.017439723,0
393,-1.5996095,-1.6190888,0.019479275,0
394,-1.6252459,-1.6437603,0.018514395,0
395,-1.5944841,-1.6139491,0.01946497,0
396,-1.6406268,-1.6580092,0.017382383,0
397,-1.6406268,-1.6579996,0.017372847,0
398,-1.661133,-1.6770443,0.015911222,0
399,-1.6406268,-1.6580235,0.017396688,0
400,-1.6560078,-1.6723106,0.016302824,0
401,-1.6662585,-1.6818353,0.015576839,0
402,-1.6201158,-1.6390171,0.018901348,0
403,-1.5996095,-1.6190888,0.019479275,0
404,-1.6047349,-1.6242332,0.019498348,0
405,-1.6252459,-1.643746,0.01850009,0
406,-1.6047349,-1.6242332,0.019498348,0
407,-1.6201158,-1.638955,0.01883924,0
408,-1.6406268,-1.6579901,0.01736331,0
409,-1.6662585,-1.6818018,0.015543342,0
410,-1.6560078,-1.6722962,0.0162884,0
411,-1.661133,-1.6770633,0.015930295,0
412,-1.6149904,-1.6342499,0.019259572,0
413,-1.6149904,-1.6342499,0.019259572,0
414,-1.6149904,-1.6342356,0.019245267,0
415,-1.6201158,-1.6389741,0.018858314,0
416,-1.5944841,-1.6139395,0.019455433,0
417,-1.5996095,-1.619084,0.019474506,0
418,-1.661133,-1.6770155,0.015882492,0
419,-1.661133,-1.6770203,0.01588726,0
420,-1.6457522,-1.6627572,0.017004967,0
421,-1.6354966,-1.6532468,0.017750144,0
422,-1.6406268,-1.6580235,0.017396688,0
423,-1.6201158,-1.6389931,0.018877387,0
424,-1.5944841,-1.6139395,0.019455433,0
425,-1.609865,-1.6293825,0.019517541,0
426,-1.5944841,-1.6139395,0.019455433,0
427,-1.6201158,-1.6389407,0.018824935,0
428,-1.6303713,-1.648451,0.018079638,0
429,-1.6508776,-1.6674861,0.016608477,0
430,-1.6303713,-1.6484654,0.018094063,0
431,-1.6457522,-1.6627524,0.017000198,0
432,-1.6560078,-1.6722866,0.016278863,0
433,-1.609865,-1.6293825,0.019517541,0
434,-1.5893539,-1.608795,0.019441128,0
435,-1.5944841,-1.6139395,0.019455433,0
