Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
30,-0.76904494,-0.7712613,0.002216339,0
31,-0.61010563,-0.61652553,0.006419897,0
32,-0.63574207,-0.6407194,0.0049773455,0
33,-1.2817357,-1.2805415,0.0011941195,0
34,-2.245603,-2.2529018,0.007298708,0
35,-0.7382831,-0.74011254,0.0018294454,0
36,-2.3071313,-2.3148172,0.0076858997,0
37,-2.6660178,-2.6740665,0.008048773,0
38,-0.8100575,-0.8157943,0.0057367682,0
39,-2.2917457,-2.2994218,0.0076761246,0
40,-1.4458003,-1.4531898,0.0073895454,0
41,6.573789e-07,-0.016841918,0.016842576,0
42,-2.5634768,-2.5716352,0.008158445,0
43,-0.63574207,-0.6406621,0.004920006,0
44,-2.2712395,-2.2792642,0.008024693,0
45,-1.5944841,-1.6009088,0.0064246655,0
46,-0.10254035,-0.11640706,0.013866708,0
47,-2.2814949,-2.2887077,0.0072128773,0
48,-2.3276377,-2.3356194,0.007981777,0
49,-2.317382,-2.325517,0.008134842,0
50,-2.266114,-2.2726247,0.0065107346,0
51,-2.317382,-2.3241172,0.0067350864,0
52,-2.2353523,-2.2426558,0.0073034763,0
53,-2.3583996,-2.3648434,0.006443739,0
54,-2.614745,-2.623448,0.008702993,0
55,-0.020505633,-0.036703356,0.016197722,0
56,6.573789e-07,-0.016841918,0.016842576,0
57,-0.7792957,-0.78138787,0.0020921826,0
58,-2.5275896,-2.5360107,0.008421183,0
59,-0.7382831,-0.7423433,0.004060209,0
60,-0.69214034,-0.69306225,0.00092190504,0
61,-0.71264666,-0.71614796,0.003501296,0
62,-0.03589132,-0.0516066,0.015715279,0
63,-1.4611813,-1.4691201,0.007938862,0
64,-1.5585921,-1.5649832,0.0063911676,0
65,-2.3071313,-2.3153665,0.008235216,0
66,-0.6716293,-0.6746816,0.0030522943,0
67,-1.3842767,-1.3905485,0.00627172,0
68,-1.425294,-1.4328555,0.0075614452,0
69,-1.522705,-1.5293684,0.0066634417,0
70,-2.2814949,-2.2880294,0.0065345764,0
71,-2.7326667,-2.7408826,0.008215904,0
72,-1.1843247,-1.1897845,0.0054597855,0
73,-2.1225605,-2.1292384,0.006677866,0
74,-1.3996576,-1.4068513,0.0071936846,0
75,-0.7331529,-0.7357944,0.002641499,0
76,-2.1892095,-2.1970193,0.0078098774,0
77,-2.4814467,-2.4882631,0.006816387,0
78,-1.6457522,-1.6528026,0.007050395,0
79,-1.5893539,-1.595769,0.0064151287,0
80,-1.4150385,-1.4222083,0.0071698427,0
81,-0.041016698,-0.056564797,0.015548099,0
82,-2.3225124,-2.3297346,0.0072221756,0
83,-0.6562484,-0.66016525,0.0039168596,0
84,-2.8249524,-2.8333116,0.008359194,0
85,-2.3225124,-2.3304176,0.007905245,0
86,-1.4663115,-1.473935,0.0076235533,0
87,-2.5942385,-2.6017284,0.0074899197,0
88,-2.701905,-2.710785,0.0088799,0
89,-1.994383,-2.0009558,0.0065728426,0
90,-2.3378932,-2.344189,0.006295681,0
91,-1.5278302,-1.5357453,0.00791502,0
92,-1.4714367,-1.4780142,0.0065774918,0
93,-2.3430185,-2.3499496,0.0069310665,0
94,-1.4765621,-1.4843482,0.0077860355,0
95,-2.6250005,-2.633541,0.00854063,0
96,16.247313,16.34031,0.0929966,1
97,-1.3432641,-1.3494451,0.0061810017,0
98,-0.7792957,-0.78134966,0.002053976,0
99,-0.63574207,-0.6392243,0.0034822226,0
100,-2.4096677,-2.4161115,0.006443739,0
101,-1.8508295,-1.8572063,0.0063768625,0
102,-2.7224112,-2.7313342,0.008923054,0
103,-2.3276377,-2.33411,0.006472349,0
104,-2.5788577,-2.5868537,0.007996082,0
105,-0.9125985,-0.91425127,0.0016527772,0
106,-2.3020012,-2.3095055,0.007504225,0
