Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
30,-1.305176,-1.2975751,0.0076009035,0
31,-1.299805,-1.2921053,0.007699728,0
32,-1.299805,-1.2921178,0.007687211,0
33,-1.2890619,-1.2811656,0.007896304,0
34,-1.2702641,-1.2619911,0.0082730055,0
35,-1.2622068,-1.2537808,0.008425951,0
36,-1.2675778,-1.259272,0.008305788,0
37,-1.2729489,-1.2647637,0.008185148,0
38,-1.264893,-1.2565513,0.008341789,0
39,-1.2487789,-1.2401177,0.00866127,0
40,-1.2434078,-1.2346473,0.0087605715,0
41,-1.2434078,-1.234656,0.008751869,0
42,-1.2380369,-1.229184,0.0088528395,0
43,-1.2165527,-1.207275,0.009277701,0
44,-1.208496,-1.1990649,0.009431124,0
45,-1.213867,-1.2045511,0.009315848,0
46,-1.2219238,-1.2127771,0.00914669,0
47,-1.213867,-1.2045636,0.009303331,0
48,-1.1977539,-1.188135,0.009618878,0
49,-1.1923829,-1.1826634,0.009719491,0
50,-1.1950681,-1.1854088,0.00965929,0
51,-1.1870118,-1.1771991,0.009812713,0
52,-1.168213,-1.1580366,0.01017642,0
53,-1.1601561,-1.1498275,0.0103286505,0
54,-1.1655272,-1.1553077,0.010219574,0
55,-1.173584,-1.1635273,0.010056734,0
56,-1.1655272,-1.1553159,0.0102113485,0
57,-1.1521,-1.1416324,0.010467529,0
58,-1.1467289,-1.136162,0.010566831,0
59,-1.1494142,-1.1389024,0.010511756,0
60,-1.1440431,-1.133432,0.010611057,0
61,-1.122559,-1.1115417,0.011017203,0
62,-1.1145022,-1.1033354,0.011166811,0
63,-1.122559,-1.1115472,0.01101172,0
64,-1.1306148,-1.1197591,0.010855675,0
65,-1.122559,-1.1115521,0.011006832,0
66,-1.1091311,-1.0978731,0.011258006,0
67,-1.1037601,-1.0924033,0.011356831,0
68,-1.1091311,-1.0978769,0.011254191,0
69,-1.1037601,-1.0924082,0.011351943,0
70,-1.0822749,-1.0705245,0.01175046,0
71,-1.0742192,-1.0623235,0.011895776,0
72,-1.0822749,-1.0705283,0.011746645,0
73,-1.0903318,-1.0787352,0.0115965605,0
74,-1.0849607,-1.0732659,0.011694789,0
75,-1.0688481,-1.056858,0.01199019,0
76,-1.0661619,-1.0541241,0.012037754,0
77,-1.0715328,-1.0595934,0.011939406,0
78,-1.0661619,-1.0541252,0.012036681,0
79,-1.047363,-1.0349863,0.012376785,0
80,-1.036621,-1.0240531,0.012567878,0
81,-1.0446777,-1.032254,0.012423754,0
82,-1.052734,-1.0404539,0.012280107,0
83,-1.0500488,-1.0377212,0.012327671,0
84,-1.0339357,-1.0213193,0.012616396,0
85,-1.0285641,-1.0158527,0.012711406,0
86,-1.036621,-1.0240531,0.012567878,0
87,-1.0339357,-1.021317,0.012618661,0
88,-1.0151368,-1.0021878,0.01294899,0
89,-1.001709,-0.98852575,0.013183236,0
90,-1.0097659,-0.99672073,0.013045132,0
91,-1.0205078,-1.0076506,0.012857199,0
92,-1.017822,-1.0049168,0.01290524,0
93,-1.001709,-0.98852193,0.013187051,0
94,-0.99633795,-0.9830565,0.013281465,0
95,-1.0043948,-0.9912514,0.013143361,0
96,-1.001709,-0.9885181,0.0131908655,0
97,-0.98291016,-0.96939605,0.0135141015,0
98,-0.9721681,-0.9584716,0.013696492,0
99,-0.9775391,-0.96393,0.013609111,0
100,-0.9882812,-0.9748528,0.01342839,0
101,-0.98559594,-0.97212005,0.013475895,0
102,-0.9721681,-0.95846397,0.013704121,0
103,-0.96948177,-0.95573014,0.013751626,0
104,-0.9748539,-0.96119016,0.013663709,0
105,-0.9721681,-0.95845854,0.013709545,0
106,-0.956055,-0.94207406,0.013980925,0
107,-0.9426272,-0.92842513,0.014202058,0
108,-0.950684,-0.9366102,0.014073789,0
109,-0.961426,-0.9475275,0.013898492,0
110,-0.9587397,-0.94479424,0.01394546,0
111,-0.94531184,-0.93114364,0.014168203,0
112,-0.93994087,-0.9256831,0.014257789,0
113,-0.9479982,-0.93386877,0.01412946,0
114,-0.94531184,-0.93113655,0.014175296,0
115,-0.9291988,-0.91476136,0.014437437,0
116,-0.91577095,-0.9011173,0.014653623,0
117,-0.92382777,-0.9092975,0.0145302415,0
118,-0.93456984,-0.9202089,0.014360964,0
119,-0.93456984,-0.9202072,0.014362633,0
120,-0.92114305,-0.9065626,0.014580429,0
121,-0.91845673,-0.9038304,0.014626324,0
122,-0.9265141,-0.9120123,0.01450181,0
123,-0.92382777,-0.9092812,0.014546573,0
124,-0.9050289,-0.8901836,0.014845252,0
125,-0.8942869,-0.8792729,0.015013993,0
126,-0.8996579,-0.88472253,0.014935374,0
127,-0.9130857,-0.89835787,0.014727831,0
128,-0.9103999,-0.8956267,0.01477319,0
129,-0.8996579,-0.8847149,0.014943004,0
130,-0.8942869,-0.879257,0.015029848,0
131,-0.9050289,-0.89016235,0.014866531,0
132,-0.9023442,-0.88743395,0.014910281,0
133,-0.8835448,-0.86834353,0.015201271,0
134,-0.87280273,-0.8574377,0.015365064,0
135,-0.880859,-0.86560917,0.015249848,0
136,-0.89160216,-0.8765123,0.0150898695,0
137,-0.88891584,-0.87378335,0.015132487,0
138,-0.87817377,-0.8628759,0.01529789,0
139,-0.875488,-0.8601464,0.01534158,0
140,-0.8835448,-0.8683206,0.015224218,0
141,-0.8835448,-0.8683179,0.015226901,0
142,-0.8647459,-0.84923565,0.015510261,0
143,-0.8540039,-0.83833414,0.015669763,0
144,-0.8593749,-0.8437778,0.015597105,0
145,-0.87011695,-0.8546744,0.01544255,0
146,-0.87011695,-0.85467273,0.015444219,0
147,-0.8593749,-0.84377015,0.015604734,0
148,-0.8566891,-0.84104013,0.015648961,0
149,-0.8674317,-0.85193783,0.01549387,0
150,-0.8647459,-0.8492089,0.015537024,0
151,-0.8486329,-0.8328577,0.015775144,0
152,-0.835205,-0.8192361,0.015968919,0
153,-0.84326184,-0.82740265,0.015859187,0
154,-0.8540039,-0.8382965,0.015707433,0
155,-0.8513181,-0.8355692,0.015748918,0
156,-0.84057605,-0.8246699,0.015906155,0
157,-0.84057605,-0.8246661,0.01590997,0
158,-0.8513181,-0.8355599,0.015758216,0
159,-0.8486329,-0.8328321,0.015800774,0
160,-0.829834,-0.81376404,0.016069949,0
161,-0.8190919,-0.80286914,0.016222775,0
162,-0.8271482,-0.8110319,0.016116321,0
163,-0.8378908,-0.8219224,0.015968382,0
164,-0.835205,-0.81919676,0.016008258,0
165,-0.8271482,-0.8110253,0.016122878,0
166,-0.82446295,-0.8082986,0.016164362,0
167,-0.835205,-0.8191875,0.016017497,0
168,-0.835205,-0.8191848,0.016020238,0
169,-0.81640613,-0.8001216,0.016284525,0
170,-0.8056641,-0.78923106,0.01643306,0
171,-0.81103516,-0.7946693,0.016365886,0
172,-0.82177716,-0.80555433,0.016222835,0
173,-0.82177716,-0.8055522,0.01622498,0
174,-0.81103516,-0.79466105,0.016374111,0
175,-0.81103516,-0.79465836,0.016376793,0
176,-0.8190919,-0.8028222,0.016269743,0
177,-0.82177716,-0.80554235,0.016234815,0
178,-0.8029789,-0.7864836,0.016495287,0
179,-0.79223573,-0.7755952,0.016640544,0
180,-0.79492205,-0.7783121,0.016609967,0
181,-0.8083499,-0.7919163,0.016433597,0
182,-0.8083499,-0.79191357,0.016436338,0
183,-0.8002931,-0.783747,0.01654607,0
184,-0.79492205,-0.7783023,0.016619742,0
185,-0.8056641,-0.789183,0.016481102,0
186,-0.8083499,-0.7919032,0.01644671,0
187,-0.79223573,-0.77557117,0.016664565,0
188,-0.77880895,-0.76196647,0.016842484,0
189,-0.78418,-0.7674024,0.016777575,0
190,-0.79492205,-0.778281,0.01664108,0
191,-0.79492205,-0.7782799,0.016642153,0
192,-0.78686523,-0.77011555,0.01674968,0
193,-0.78418,-0.7673915,0.016788483,0
194,-0.79492205,-0.7782723,0.016649783,0
195,-0.79760677,-0.78098917,0.016617596,0
196,-0.7814942,-0.7646626,0.016831577,0
197,-0.7680658,-0.7510606,0.017005205,0
198,-0.7707522,-0.7537753,0.016976893,0
199,-0.78418,-0.7673724,0.016807556,0
200,-0.78418,-0.7673713,0.016808689,0
201,-0.77612317,-0.75920856,0.016914606,0
202,-0.773438,-0.75648564,0.016952336,0
203,-0.78418,-0.76736313,0.016816854,0
204,-0.78686523,-0.7700811,0.016784132,0
205,-0.7707522,-0.7537584,0.01699382,0
206,-0.7573238,-0.7401591,0.017164707,0
207,-0.76269484,-0.74559236,0.01710248,0
208,-0.773438,-0.75646764,0.016970336,0
209,-0.773438,-0.75646657,0.01697141,0
210,-0.76538116,-0.74830544,0.017075717,0
211,-0.76269484,-0.7455842,0.017110646,0
212,-0.77612317,-0.759178,0.016945183,0
213,-0.77880895,-0.7618971,0.016911864,0
214,-0.7600101,-0.7428585,0.017151594,0
215,-0.74658173,-0.7292636,0.01731813,0
216,-0.75195277,-0.7346942,0.017258584,0
217,-0.76538116,-0.74828523,0.017095923,0
218,-0.76269484,-0.74556506,0.017129779,0
219,-0.7546391,-0.73740834,0.01723075,0
220,-0.7546391,-0.737404,0.0172351,0
221,-0.7680658,-0.7509962,0.017069638,0
222,-0.7680658,-0.75099504,0.01707077,0
223,-0.75195277,-0.73468,0.01727277,0
224,-0.7385249,-0.7210878,0.0174371,0
225,-0.74389595,-0.72651726,0.017378688,0
226,-0.7546391,-0.73738813,0.017250955,0
227,-0.7546391,-0.73738706,0.017252028,0
228,-0.74658173,-0.72923034,0.017351389,0
229,-0.74658173,-0.72922814,0.017353594,0
230,-0.7600101,-0.74281865,0.01719147,0
231,-0.7600101,-0.74281704,0.017193079,0
232,-0.74389595,-0.726503,0.017392933,0
233,-0.7304692,-0.71291524,0.017553985,0
234,-0.7358402,-0.71834576,0.01749444,0
235,-0.74658173,-0.72921175,0.017369986,0
236,-0.74389595,-0.7264932,0.017402768,0
237,-0.7358402,-0.71833974,0.01750046,0
238,-0.7412107,-0.7237714,0.017439306,0
239,-0.75195277,-0.73464066,0.01731211,0
240,-0.75195277,-0.7346396,0.017313182,0
241,-0.7331539,-0.71561414,0.01753974,0
242,-0.7250982,-0.7074618,0.017636418,0
243,-0.7304692,-0.71288955,0.017579675,0
244,-0.7412107,-0.723755,0.017455697,0
245,-0.7358402,-0.7183212,0.017518997,0
246,-0.72778285,-0.71016884,0.017614007,0
247,-0.7331539,-0.7155999,0.017553985,0
248,-0.74658173,-0.7291855,0.017396212,0
249,-0.74658173,-0.72918445,0.017397285,0
250,-0.72778285,-0.7101606,0.017622232,0
251,-0.71704084,-0.6992925,0.017748356,0
252,-0.7250982,-0.70743716,0.017661035,0
253,-0.7331539,-0.7155857,0.017568171,0
254,-0.7304692,-0.7128683,0.017600954,0
255,-0.71972716,-0.70200175,0.017725408,0
256,-0.72778285,-0.71014756,0.017635286,0
257,-0.7412107,-0.7237326,0.017478108,0
258,-0.7385249,-0.7210124,0.0175125,0
259,-0.71972716,-0.70199573,0.017731428,0
260,-0.7116698,-0.6938439,0.017825902,0
261,-0.71972716,-0.7019881,0.017739058,0
262,-0.72778285,-0.71013445,0.017648399,0
263,-0.7224118,-0.7047012,0.017710626,0
264,-0.71435505,-0.69655097,0.017804086,0
265,-0.7224118,-0.7046968,0.017715037,0
266,-0.7331539,-0.71556336,0.017590523,0
267,-0.7331539,-0.71556336,0.017590523,0
268,-0.71435505,-0.696545,0.017810047,0
269,-0.70629877,-0.68839645,0.017902315,0
270,-0.71435505,-0.696539,0.017816067,0
271,-0.7224118,-0.70468533,0.017726481,0
272,-0.71704084,-0.6992526,0.017788231,0
273,-0.708984,-0.69110405,0.017879963,0
274,-0.71704084,-0.6992493,0.01779151,0
275,-0.7304692,-0.7128317,0.01763755,0
276,-0.7250982,-0.70739734,0.017700851,0
277,-0.708984,-0.69109917,0.01788485,0
278,-0.703613,-0.6856659,0.017947078,0
279,-0.7116698,-0.69380784,0.017861962,0
280,-0.71435505,-0.6965226,0.017832458,0
281,-0.708984,-0.69109094,0.017893076,0
282,-0.703613,-0.6856582,0.017954767,0
283,-0.71435505,-0.69651824,0.01783681,0
284,-0.7250982,-0.7073842,0.017713964,0
285,-0.71972716,-0.7019504,0.017776787,0
286,-0.703613,-0.6856544,0.017958581,0
287,-0.69824195,-0.6802217,0.018020272,0
288,-0.70629877,-0.6883626,0.01793617,0
289,-0.7116698,-0.6937926,0.017877221,0
290,-0.703613,-0.68564624,0.017966747,0
291,-0.69824195,-0.6802168,0.01802516,0
292,-0.708984,-0.6910735,0.01791054,0
293,-0.7224118,-0.7046531,0.017758727,0
294,-0.71435505,-0.696504,0.017851055,0
295,-0.69824195,-0.6802113,0.018030643,0
296,-0.6955567,-0.6774939,0.01806283,0
297,-0.703613,-0.68563473,0.017978251,0
298,-0.70629877,-0.6883495,0.017949283,0
299,-0.69824195,-0.6802042,0.018037736,0
300,-0.6928709,-0.6747742,0.018096685,0
301,-0.70629877,-0.6883462,0.017952561,0
302,-0.71704084,-0.6992089,0.017831922,0
303,-0.7116698,-0.6937762,0.017893612,0
304,-0.6955567,-0.67748404,0.018072665,0
305,-0.6928709,-0.67476714,0.018103778,0
306,-0.70092773,-0.6829086,0.01801914,0
307,-0.70092773,-0.6829064,0.018021345,0
308,-0.6928709,-0.67476386,0.018107057,0
309,-0.6874999,-0.6693344,0.01816547,0
310,-0.703613,-0.68561727,0.017995715,0
311,-0.7116698,-0.69376475,0.017905056,0
312,-0.70629877,-0.6883331,0.017965674,0
313,-0.6901862,-0.6720453,0.018140912,0
314,-0.6901862,-0.672042,0.01814419,0
315,-0.69824195,-0.6801818,0.018060148,0
316,-0.69824195,-0.6801807,0.01806122,0
317,-0.6874999,-0.66932404,0.01817584,0
318,-0.6848141,-0.6666082,0.018205881,0
319,-0.70092773,-0.6828922,0.018035531,0
320,-0.708984,-0.69103855,0.017945468,0
321,-0.70092773,-0.68289435,0.018033385,0
322,-0.6874999,-0.6693196,0.018180251,0
323,-0.6874999,-0.66931695,0.018182933,0
324,-0.6955567,-0.6774573,0.018099427,0
325,-0.6928709,-0.6747409,0.018130004,0
326,-0.68212885,-0.66388583,0.018243015,0
327,-0.68212885,-0.66388476,0.018244088,0
328,-0.69824195,-0.6801671,0.01807487,0
329,-0.70629877,-0.68831235,0.017986417,0
330,-0.6955567,-0.6774529,0.018103778,0
331,-0.6848141,-0.66659456,0.01821953,0
332,-0.6848141,-0.6665929,0.0182212,0
333,-0.6955567,-0.6774469,0.018109798,0
334,-0.6901862,-0.67201746,0.018168747,0
335,-0.6767579,-0.6584498,0.018308043,0
336,-0.67944306,-0.6611613,0.018281758,0
337,-0.6955567,-0.67744255,0.01811415,0
338,-0.703613,-0.6855878,0.01802516,0
339,-0.6901862,-0.67201525,0.018170953,0
340,-0.68212885,-0.6638711,0.018257737,0
341,-0.6848141,-0.6665825,0.01823157,0
342,-0.6928709,-0.6747229,0.018148005,0
343,-0.6848141,-0.66658145,0.018232644,0
