Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
32,-2.3327632,-2.3916118,0.05884862,0
33,-2.3891613,-2.410427,0.021265745,0
34,-2.4045422,-2.4168804,0.0123381615,0
35,-2.4045422,-2.418729,0.014186859,0
36,-2.4096677,-2.422283,0.012615204,0
37,-2.3994122,-2.420802,0.021389961,0
38,-2.3789058,-2.415347,0.036441326,0
39,-2.348144,-2.405359,0.057214975,0
40,-2.317382,-2.3943727,0.076990604,0
41,-2.3071313,-2.3888605,0.08172917,0
42,-2.3122568,-2.3883064,0.076049566,0
43,-2.3071313,-2.3847382,0.07760692,0
44,-2.3327632,-2.3917217,0.05895853,0
45,-2.363525,-2.4015043,0.037979364,0
46,-2.3994122,-2.414621,0.01520896,0
47,-2.414793,-2.4212844,0.0064914227,0
48,-2.3994122,-2.4178548,0.01844263,0
49,-2.3891613,-2.4161687,0.027007341,0
50,-2.3942866,-2.419288,0.025001287,0
51,-2.3430185,-2.4025362,0.059517622,0
52,-2.317382,-2.3933792,0.075997114,0
53,-2.3225124,-2.393255,0.07074261,0
54,-2.3071313,-2.3859274,0.07879615,0
55,-2.3122568,-2.3860183,0.07376146,0
56,-2.3327632,-2.3911867,0.05842352,0
57,-2.348144,-2.3953805,0.047236443,0
58,-2.4045422,-2.415586,0.011043787,0
59,-2.419923,-2.4222398,0.0023167133,0
60,-2.3891613,-2.4135606,0.02439928,0
61,-2.4045422,-2.4210074,0.016465187,0
62,-2.3891613,-2.4172578,0.028096437,0
63,-2.3430185,-2.4023354,0.059316874,0
64,-2.3327632,-2.3988867,0.066123486,0
65,-2.3122568,-2.3903651,0.07810831,0
66,-2.3020012,-2.3847477,0.082746506,0
67,-2.3225124,-2.389892,0.06737971,0
68,-2.317382,-2.3862429,0.06886077,0
69,-2.3378932,-2.3918314,0.05393815,0
70,-2.3994122,-2.412887,0.013474941,0
71,-2.4096677,-2.4176161,0.007948399,0
72,-2.3891613,-2.4122663,0.023104906,0
73,-2.419923,-2.4249625,0.0050394535,0
74,-2.4045422,-2.4217575,0.017215252,0
75,-2.3583996,-2.4073796,0.048979998,0
76,-2.3583996,-2.4079242,0.049524546,0
77,-2.3327632,-2.3986669,0.06590366,0
78,-2.3071313,-2.3881104,0.08097911,0
79,-2.3378932,-2.3968136,0.058920383,0
80,-2.3327632,-2.3936992,0.060935974,0
81,-2.3532693,-2.399823,0.04655361,0
82,-2.4096677,-2.4190633,0.009395599,0
83,-2.419923,-2.424117,0.004194021,0
84,-2.419923,-2.4262762,0.00635314,0
85,-2.4250486,-2.43015,0.0051014423,0
86,-2.419923,-2.430814,0.010890961,0
87,-2.3942866,-2.4239643,0.02967763,0
88,-2.3686502,-2.4161258,0.047475576,0
89,-2.3327632,-2.4037588,0.07099557,0
90,-2.3276377,-2.400396,0.072758436,0
91,-2.3276377,-2.398452,0.07081437,0
92,-2.3276377,-2.3971527,0.06951499,0
93,-2.3532693,-2.4046712,0.051401854,0
94,-2.3737805,-2.4112344,0.03745389,0
95,-2.4096677,-2.424676,0.015008211,0
96,-2.4301739,-2.4336035,0.0034296513,0
97,-2.4096677,-2.428803,0.019135237,0
98,-2.3994122,-2.4274464,0.02803421,0
