Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
32,-1.4868177,-1.3811384,0.10567927,0
33,-1.5021986,-1.393018,0.10918057,0
34,-1.4868177,-1.3809807,0.10583699,0
35,-1.5124494,-1.4010333,0.1114161,0
36,-1.4714367,-1.3689436,0.10249317,0
37,-1.4816875,-1.3767439,0.10494363,0
38,-1.4765621,-1.372741,0.10382116,0
39,-1.4970684,-1.3888384,0.108229995,0
40,-1.4919431,-1.3849263,0.1070168,0
41,-1.4970684,-1.3889483,0.108120084,0
42,-1.5021986,-1.3930037,0.109194875,0
43,-1.522705,-1.4092109,0.11349404,0
44,-1.522705,-1.4093686,0.113336325,0
45,-1.5329604,-1.4174412,0.115519166,0
46,-1.5278302,-1.4134718,0.114358425,0
47,-1.4919431,-1.3852272,0.10671592,0
48,-1.5021986,-1.393104,0.10909462,0
49,-1.4919431,-1.3851031,0.106840014,0
50,-1.5124494,-1.4011575,0.111291885,0
51,-1.4765621,-1.3730706,0.103491545,0
52,-1.4868177,-1.3809043,0.1059134,0
53,-1.4816875,-1.3769636,0.10472393,0
54,-1.4970684,-1.3890581,0.10801029,0
55,-1.4970684,-1.3891442,0.10792422,0
56,-1.4970684,-1.3891394,0.10792899,0
57,-1.5021986,-1.3931948,0.10900378,0
58,-1.522705,-1.409402,0.113302946,0
59,-1.5278302,-1.4135911,0.1142391,0
60,-1.5329604,-1.4176991,0.11526132,0
61,-1.522705,-1.4096934,0.1130116,0
62,-1.4868177,-1.3814203,0.10539746,0
63,-1.5021986,-1.3932998,0.10889876,0
64,-1.4868177,-1.381296,0.10552168,0
65,-1.5124494,-1.4013534,0.111096025,0
66,-1.4765621,-1.3732903,0.10327184,0
67,-1.4868177,-1.3811289,0.10568881,0
68,-1.4816875,-1.3771881,0.10449946,0
69,-1.5021986,-1.3933141,0.108884454,0
70,-1.4970684,-1.389426,0.10764241,0
71,-1.4970684,-1.3894212,0.10764718,0
72,-1.5021986,-1.3934766,0.10872197,0
73,-1.522705,-1.4096504,0.113054514,0
74,-1.522705,-1.4097794,0.11292553,0
75,-1.5380858,-1.4218261,0.116259694,0
76,-1.5278302,-1.4139208,0.11390948,0
77,-1.4919431,-1.3856763,0.106266856,0
78,-1.507324,-1.3975463,0.10977769,0
79,-1.4919431,-1.3855473,0.10639584,0
80,-1.5175796,-1.4056332,0.111946344,0
81,-1.4765621,-1.3735387,0.10302341,0
82,-1.4816875,-1.3773409,0.10434663,0
83,-1.4765621,-1.3733429,0.10321927,0
84,-1.4970684,-1.389402,0.10766637,0
85,-1.4919431,-1.3854566,0.10648656,0
86,-1.4919431,-1.3854231,0.10652006,0
87,-1.5021986,-1.3934479,0.1087507,0
88,-1.5175796,-1.4055903,0.11198926,0
89,-1.522705,-1.4097173,0.11298764,0
90,-1.5329604,-1.4177947,0.11516571,0
91,-1.522705,-1.4097602,0.11294472,0
92,-1.4868177,-1.3814824,0.105335355,0
93,-1.4970684,-1.3893209,0.107747555,0
94,-1.4868177,-1.3813246,0.10549307,0
95,-1.507324,-1.3973504,0.10997355,0
96,-1.4714367,-1.3692588,0.10217798,0
97,-1.4816875,-1.3770591,0.10462844,0
98,-1.4765621,-1.3730611,0.10350108,0
99,-1.4919431,-1.3850887,0.10685444,0
100,-1.4919431,-1.3851413,0.10680187,0
101,-1.4919431,-1.3850696,0.10687351,0
102,-1.4970684,-1.3890581,0.10801029,0
103,-1.5175796,-1.4052033,0.11237621,0
104,-1.5175796,-1.4052988,0.11228073,0
105,-1.5278302,-1.4133428,0.11448741,0
106,-1.5175796,-1.405318,0.112261534,0
107,-1.4868177,-1.3810095,0.10580826,0
108,-1.4970684,-1.3888193,0.10824907,0
109,-1.4816875,-1.3767534,0.1049341,0
110,-1.507324,-1.3967534,0.11057055,0
111,-1.4663115,-1.3645967,0.10171473,0
112,-1.4765621,-1.372335,0.104227185,0
113,-1.4765621,-1.372335,0.104227185,0
114,-1.4919431,-1.3843913,0.10755181,0
115,-1.4919431,-1.3844773,0.10746586,0
116,-1.4868177,-1.3804171,0.10640061,0
117,-1.4919431,-1.3844056,0.10753751,0
118,-1.5175796,-1.4045776,0.11300194,0
119,-1.5175796,-1.4046731,0.112906456,0
120,-1.5278302,-1.4127457,0.11508453,0
121,-1.5124494,-1.4006798,0.11176956,0
122,-1.4816875,-1.376376,0.10531151,0
123,-1.4919431,-1.3841954,0.107747674,0
124,-1.4816875,-1.3761611,0.10552645,0
125,-1.5021986,-1.3921821,0.110016465,0
126,-1.4611813,-1.3600303,0.10115099,0
127,-1.4714367,-1.3677971,0.1036396,0
128,-1.4663115,-1.3637704,0.10254109,0
129,-1.4868177,-1.3797961,0.10702157,0
130,-1.4868177,-1.379844,0.10697377,0
131,-1.4816875,-1.375779,0.10590851,0
132,-1.4868177,-1.379734,0.10708368,0
133,-1.5124494,-1.3998773,0.112572074,0
134,-1.5124494,-1.3999729,0.11247647,0
135,-1.5278302,-1.4120531,0.115777135,0
136,-1.5175796,-1.4040521,0.11352742,0
137,-1.4816875,-1.3757741,0.1059134,0
138,-1.4919431,-1.3836223,0.10832083,0
139,-1.4816875,-1.3755879,0.106099606,0
140,-1.5021986,-1.3916137,0.110584855,0
141,-1.4663115,-1.363522,0.1027894,0
142,-1.4714367,-1.3672956,0.104141116,0
143,-1.4714367,-1.3673242,0.104112506,0
144,-1.4868177,-1.3793854,0.107432365,0
145,-1.4868177,-1.3794379,0.107379794,0
146,-1.4868177,-1.3794044,0.10741329,0
147,-1.4919431,-1.383393,0.10855007,0
148,-1.507324,-1.3955306,0.1117934,0
149,-1.5124494,-1.3996576,0.11279178,0
150,-1.5278302,-1.4117378,0.11609244,0
151,-1.5124494,-1.3997054,0.112743974,0
152,-1.4816875,-1.3754302,0.10625732,0
153,-1.4919431,-1.3833117,0.10863137,0
154,-1.4765621,-1.3712794,0.10528278,0
155,-1.5021986,-1.3913367,0.1108619,0
156,-1.4611813,-1.3592135,0.10196781,0
157,-1.4714367,-1.3670138,0.10442293,0
158,-1.4663115,-1.3630444,0.10326707,0
159,-1.4868177,-1.3791322,0.107685566,0
160,-1.4868177,-1.3792516,0.10756612,0
161,-1.4816875,-1.3752201,0.106467485,0
162,-1.4868177,-1.3792087,0.10760903,0
163,-1.507324,-1.3953778,0.111946225,0
164,-1.5124494,-1.3995334,0.11291599,0
165,-1.522705,-1.4076108,0.115094185,0
166,-1.5124494,-1.3996098,0.11283958,0
167,-1.4765621,-1.371308,0.10525417,0
168,-1.4919431,-1.3831542,0.10878897,0
169,-1.4765621,-1.371117,0.10544515,0
170,-1.5021986,-1.3911742,0.11102438,0
171,-1.4611813,-1.359051,0.102130294,0
