Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
30,-2.650636,-2.862991,0.21235514,0
31,-0.6049778,-0.751785,0.1468072,0
32,-2.209718,-2.488748,0.27903008,0
33,-2.2404766,-2.5187953,0.27831864,0
34,-6.7470694,-6.604066,0.14300346,0
35,-0.5947249,-0.7401806,0.14545572,0
36,-2.2609873,-2.5362399,0.27525258,0
37,-2.5019522,-2.738089,0.23613691,0
38,-0.07690284,-0.19579263,0.118889794,0
39,-2.3225095,-2.5877051,0.2651956,0
40,-2.6250014,-2.8414395,0.21643806,0
41,-0.041015264,-0.15980478,0.11878951,0
42,-2.5993667,-2.8198974,0.22053075,0
43,-1.461184,-1.6981566,0.23697257,0
44,-2.3891606,-2.643511,0.25435042,0
45,-2.5788562,-2.802658,0.22380185,0
46,-1.5227063,-1.7628688,0.24016249,0
47,-2.199465,-2.4785619,0.27909684,0
48,-1.5637226,-1.8060437,0.24232113,0
49,30.905272,30.76272,0.14255142,0
50,-2.3378913,-2.6005797,0.2626884,0
51,-2.7429218,-2.940664,0.19774222,0
52,-0.1025375,-0.22149415,0.118956655,0
53,-2.6044908,-2.8242002,0.2197094,0
54,-0.041015264,-0.15980478,0.11878951,0
55,-0.7331559,-0.898573,0.16541708,0
56,-1.1125469,-1.3427622,0.23021531,0
57,-0.6921395,-0.8507229,0.1585834,0
58,-2.7993152,-2.9881701,0.18885493,0
59,-1.317629,-1.5515213,0.23389232,0
60,-2.2250998,-2.5040152,0.2789154,0
61,-0.030762356,-0.14953278,0.11877042,0
62,-1.3535165,-1.5881205,0.234604,0
63,-2.6711419,-2.880245,0.20910311,0
64,-2.2404766,-2.5187953,0.27831864,0
65,-1.4201676,-1.6561326,0.23596501,0
66,-1.8559568,-2.1189938,0.26303697,0
67,-2.819826,-3.0054574,0.18563151,0
68,-2.2712402,-2.5448072,0.27356696,0
69,-1.6149919,-1.8600494,0.24505746,0
70,-0.7434088,-0.9105403,0.16713148,0
71,-1.2048327,-1.4366238,0.23179114,0
72,-2.3994136,-2.6521022,0.25268865,0
73,-0.61523545,-0.76338935,0.1481539,0
74,-2.3430202,-2.6048777,0.2618575,0
75,-1.4406734,-1.6770729,0.23639953,0
76,-0.64087015,-0.7924098,0.15153962,0
77,-0.020509446,-0.139256,0.11874656,0
78,-2.650636,-2.862991,0.21235514,0
79,-1.4816898,-1.7197225,0.2380327,0
80,-2.4506829,-2.6950812,0.24439836,0
81,-2.199465,-2.4785619,0.27909684,0
82,-2.2507296,-2.527668,0.27693844,0
83,-2.7582989,-2.9536054,0.19530654,0
84,-0.65112305,-0.8040189,0.15289587,0
85,-0.73827994,-0.9045471,0.16626716,0
86,-2.3276384,-2.5919933,0.26435494,0
87,-1.5944813,-1.8384404,0.24395907,0
88,-1.3842752,-1.6194904,0.23521519,0
89,-1.620116,-1.8654504,0.24533439,0
90,-2.5686033,-2.7940478,0.22544456,0
91,-0.6049778,-0.751785,0.1468072,0
92,-0.65112305,-0.8040189,0.15289587,0
93,-0.7126453,-0.8746432,0.16199791,0
94,-2.286622,-2.557677,0.27105498,0
95,-1.4714369,-1.7089396,0.2375027,0
96,-2.230224,-2.509101,0.27887702,0
97,1.1479912e-06,-0.11870242,0.11870357,0
98,-2.7941911,-2.983853,0.18966198,0
99,-0.7228982,-0.88661045,0.16371226,0
100,-1.476561,-1.7143215,0.23776054,0
101,-0.9433572,-1.1445234,0.20116615,0
102,-2.3737788,-2.6306317,0.25685287,0
103,-1.5175774,-1.7574677,0.23989034,0
104,-2.2558584,-2.5319517,0.27609324,0
105,-1.4201676,-1.6561326,0.23596501,0
106,-1.4560552,-1.6927937,0.23673856,0
107,21.794676,23.998087,2.203411,1
108,-1.8251933,-2.0850546,0.25986135,0
109,-2.2661114,-2.5405188,0.2744074,0
110,-1.6611325,-1.9086875,0.24755502,0
111,-2.1174324,-2.3942225,0.27679014,0
112,-0.6562519,-0.8098211,0.15356922,0
113,-2.5122051,-2.7466896,0.23448443,0
114,-1.476561,-1.7143215,0.23776054,0
115,-0.6972683,-0.8567018,0.15943348,0
116,-0.6254884,-0.77499366,0.14950526,0
117,-1.1843269,-1.415755,0.23142815,0
118,-2.2968748,-2.5662584,0.26938367,0
119,-2.230224,-2.509101,0.27887702,0
120,-1.5175774,-1.7574677,0.23989034,0
121,15.529543,15.092221,0.43732166,1
122,-1.1638163,-1.3949007,0.23108435,0
123,-2.3378913,-2.6005797,0.2626884,0
124,-2.0661628,-2.3408234,0.2746606,0
125,-0.6972683,-0.8567018,0.15943348,0
126,-0.6921395,-0.8507229,0.1585834,0
127,-2.5737321,-2.7983553,0.2246232,0
128,-2.358397,-2.6177523,0.2593553,0
129,-0.7792964,-0.9524306,0.17313421,0
130,-0.7126453,-0.8746432,0.16199791,0
131,-0.62035954,-0.7691963,0.14883673,0
132,-1.3688983,-1.6038126,0.2349143,0
133,-1.4714369,-1.7089396,0.2375027,0
134,-0.07690284,-0.19579263,0.118889794,0
135,-2.3276384,-2.5919933,0.26435494,0
136,-0.16405971,-0.2832265,0.11916678,0
137,-2.2661114,-2.5405188,0.2744074,0
138,-2.1892073,-2.468376,0.2791686,1
139,-1.4663081,-1.7035528,0.23724473,0
140,-2.4916992,-2.7294836,0.23778439,0
141,-0.07177877,-0.19065425,0.11887548,0
142,-2.732664,-2.9320204,0.19935632,0
143,-2.6403832,-2.8543668,0.21398354,0
144,-2.8608422,-3.039215,0.17837286,0
145,-1.6457506,-1.8924795,0.2467289,0
146,-2.5480974,-2.7768228,0.22872543,0
147,-1.0407718,-1.2590388,0.21826696,0
148,-1.3381348,-1.5724283,0.23429358,0
149,-2.6198726,-2.837132,0.2172594,0
150,-2.4711885,-2.712273,0.24108434,0
151,-2.3276384,-2.5919933,0.26435494,0
152,-0.71777415,-0.880622,0.16284788,0
153,-4.3322754,-4.2912736,0.041001797,0
154,-2.7224112,-2.9233863,0.20097518,0
155,-1.5278302,-1.7682602,0.24043,0
156,-2.6250014,-2.8414395,0.21643806,0
157,-2.6865237,-2.8931863,0.20666265,0
158,-1.5483409,-1.7898501,0.2415092,0
159,-1.4304205,-1.6666099,0.23618937,0
160,-2.2404766,-2.5187953,0.27831864,0
161,-0.7228982,-0.88661045,0.16371226,0
162,-2.804444,-2.9924967,0.18805265,0
163,-2.6301255,-2.845747,0.21562147,0
164,-2.358397,-2.6177523,0.2593553,0
