Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
30,-0.76904494,-0.8379581,0.06891316,0
31,-0.61010563,-0.6838146,0.07370895,0
32,-0.63574207,-0.707784,0.07204193,0
33,-1.2817357,-1.3280026,0.046266913,0
34,-2.245603,-2.3086026,0.06299949,0
35,-0.7382831,-0.80670905,0.06842595,0
36,-2.3071313,-2.3709812,0.063849926,0
37,-2.6660178,-2.7183988,0.05238104,0
38,-0.8100575,-0.88314074,0.07308322,0
39,-2.2917457,-2.3555622,0.06381655,0
40,-1.4458003,-1.5102903,0.06448996,0
41,6.573789e-07,-0.069017604,0.06901826,0
42,-2.5634768,-2.6198368,0.056360006,0
43,-0.63574207,-0.7077171,0.07197505,0
44,-2.2712395,-2.3358107,0.06457114,0
45,-1.5944841,-1.6556877,0.0612036,0
46,-0.10254035,-0.17207927,0.06953891,0
47,-2.2814949,-2.3443131,0.06281829,0
48,-2.3276377,-2.3920321,0.064394474,0
49,-2.317382,-2.3822017,0.064819574,0
50,-2.266114,-2.3274035,0.06128955,0
51,-2.317382,-2.3791208,0.06173873,0
52,-2.2353523,-2.2983422,0.06298995,0
53,-2.3583996,-2.4180124,0.05961275,0
54,-2.614745,-2.6705508,0.05580592,0
55,-0.020505633,-0.08959077,0.069085136,0
56,6.573789e-07,-0.069017604,0.06901826,0
57,-0.7792957,-0.8480703,0.06877464,0
58,-2.5275896,-2.5858746,0.058284998,0
59,-0.7382831,-0.80932665,0.07104355,0
60,-0.69214034,-0.75946766,0.06732732,0
61,-0.71264666,-0.78301674,0.07037008,0
62,-0.03589132,-0.105029,0.06913768,0
63,-1.4611813,-1.526555,0.06537366,0
64,-1.5585921,-1.6196811,0.06108904,0
65,-2.3071313,-2.3721707,0.0650394,0
66,-0.6716293,-0.74143094,0.06980163,0
67,-1.3842767,-1.4481982,0.06392145,0
68,-1.425294,-1.491112,0.06581795,0
69,-1.522705,-1.5844291,0.061724186,0
70,-2.2814949,-2.3428419,0.061347008,0
71,-2.7326667,-2.7830179,0.050351143,0
72,-1.1843247,-1.2538303,0.06950557,0
73,-2.1225605,-2.184089,0.061528444,0
74,-1.3996576,-1.4655232,0.065865636,0
75,-0.7331529,-0.8025247,0.06937176,0
76,-2.1892095,-2.2532744,0.06406498,0
77,-2.4814467,-2.5375872,0.056140423,0
78,-1.6457522,-1.7084843,0.0627321,0
79,-1.5893539,-1.6505337,0.061179757,0
80,-1.4150385,-1.4802115,0.06517303,0
81,-0.041016698,-0.11016871,0.06915201,0
82,-2.3225124,-2.385254,0.06274152,0
83,-0.6562484,-0.7270627,0.07081431,0
84,-2.8249524,-2.8722653,0.047312975,0
85,-2.3225124,-2.3868303,0.06431794,0
86,-1.4663115,-1.530553,0.06424153,0
87,-2.5942385,-2.6478999,0.053661346,0
88,-2.701905,-2.7549453,0.053040266,0
89,-1.994383,-2.055472,0.06108892,0
90,-2.3378932,-2.3978596,0.059966326,0
91,-1.5278302,-1.5926307,0.0648005,0
92,-1.4714367,-1.5329175,0.06148076,0
