Timestamp,True_Value,Reconstructed_Value,Reconstruction_Error,Peak
60,-2.3276377,-2.323138,0.004499674,0
61,-1.758544,-1.7599818,0.0014377832,0
62,-2.266114,-2.2620444,0.0040695667,0
63,-0.71264666,-0.73717016,0.024523497,0
64,-2.4096677,-2.4029517,0.006716013,0
65,-0.5793438,-0.61683124,0.037487447,0
66,-2.317382,-2.3147693,0.0026128292,0
67,-2.2763648,-2.273862,0.0025029182,0
68,-0.03589132,-0.16052926,0.12463793,0
69,-1.9482403,-2.0587344,0.11049414,0
70,-2.2045903,-2.2029808,0.0016095638,0
71,-1.3176277,-1.3293974,0.011769772,0
72,-1.5175796,-1.686268,0.16868842,1
73,-2.7583032,-2.7511287,0.007174492,0
74,-13.207031,-13.156332,0.050699234,0
75,-2.348144,-2.3440075,0.0041365623,0
76,-2.3071313,-2.3025553,0.004575968,0
77,-1.522705,-1.5291582,0.0064532757,0
78,-1.912353,-1.9052358,0.0071172714,0
79,-2.266114,-2.2641127,0.0020012856,0
80,-2.2712395,-2.266888,0.004351616,0
81,-0.63574207,-0.6615505,0.025808454,0
82,-0.7280276,-0.7514333,0.02340573,0
83,-1.6662585,-1.6700082,0.0037497282,0
84,-0.6306167,-0.65784377,0.027227044,0
85,-1.3073721,-1.3376276,0.030255556,0
86,-0.6408675,-0.66639405,0.025526583,0
87,-0.902343,-0.92506564,0.022722661,0
88,-0.8049321,-0.82747805,0.022545934,0
89,-2.3532693,-2.347609,0.0056602955,0
90,-1.5585921,-1.5655613,0.0069692135,0
91,-15.575685,-15.805613,0.22992802,1
92,-1.174074,-1.1950293,0.020955205,0
93,-2.4763167,-2.469677,0.006639719,0
94,-2.194335,-2.1910868,0.0032482147,0
95,-1.4970684,-1.50452,0.0074516535,0
96,6.573789e-07,-0.13295825,0.1329589,0
97,-0.651123,-0.6760812,0.024958193,0
98,-2.2507331,-2.2482255,0.0025076866,0
99,-2.6403813,-2.6325333,0.007848024,0
100,-1.5278302,-1.5338346,0.0060043335,0
101,-2.194335,-2.1896298,0.0047051907,0
102,-2.4865723,-2.4873126,0.0007402897,0
103,-2.348144,-2.34267,0.0054740906,0
104,-1.3945322,-1.4047973,0.010265112,0
105,-2.199465,-2.1962552,0.0032098293,0
106,-1.389402,-1.3977183,0.008316278,0
107,-2.2199714,-2.2175066,0.0024647713,0
108,-1.5534667,-1.5603642,0.0068975687,0
109,6.573789e-07,-0.13295825,0.1329589,0
110,-2.548096,-2.5389342,0.009161711,0
111,-2.317382,-2.313193,0.0041890144,0
112,-1.3842767,-1.3932234,0.008946657,0
113,-2.604494,-2.5985901,0.0059039593,0
114,-2.7583032,-2.7494137,0.008889437,0
115,-0.5998549,-0.63093674,0.031081855,0
116,-2.317382,-2.3146641,0.0027179718,0
117,-2.6608877,-2.7125187,0.051630974,0
118,-2.5891132,-2.5811791,0.0079340935,0
119,6.573789e-07,-0.13295825,0.1329589,0
120,-1.389402,-1.3983297,0.008927703,0
121,-2.2404776,-2.2359016,0.004575968,0
122,-1.3791513,-1.3886569,0.00950551,0
123,-2.2763648,-2.2713492,0.0050156116,0
124,-1.661133,-1.6649115,0.0037784576,0
125,-1.4611813,-1.4703621,0.009180784,0
126,-0.651123,-0.67661136,0.025488377,0
127,-1.4304194,-1.7298552,0.29943573,1
128,-2.3122568,-2.307227,0.0050299168,0
129,-2.7224112,-2.7147543,0.0076568127,0
130,-0.6408675,-0.67025363,0.029386163,0
131,-2.194335,-2.1924002,0.0019347668,0
132,-0.5895994,-0.62358546,0.03398609,0
133,-2.245603,-2.243401,0.002202034,0
134,-0.6818848,-0.7082473,0.026362479,0
135,-0.5998549,-0.632107,0.032252133,0
136,-0.051272232,-0.17259037,0.12131815,0
137,-0.7382831,-0.7613497,0.02306658,0
138,-0.7895512,-0.7951447,0.0055934787,0
139,-2.5788577,-2.5716927,0.007164955,0
140,-2.260984,-2.2566419,0.004342079,0
141,-2.5327148,-2.527045,0.005669832,0
142,-2.3071313,-2.3032765,0.0038547516,0
143,-0.6870102,-0.71266574,0.025655508,0
144,-2.3327632,-2.3268974,0.0058658123,0
145,-2.6096194,-2.6032808,0.0063385963,0
146,-0.06152299,-0.1805961,0.11907311,0
147,-1.7277821,-1.7211044,0.006677747,0
148,-0.70239115,-0.7274257,0.025034547,0
149,-0.6408675,-0.66651344,0.025645971,0
150,-0.020505633,-0.14871652,0.12821089,0
151,-0.030761166,-0.15660283,0.12584166,0
152,-11.694579,-11.569215,0.1253643,0
153,22.47656,21.612703,0.86385727,1
154,-2.7172859,-2.709538,0.0077478886,0
155,6.573789e-07,-0.13295825,0.1329589,0
156,-2.3891613,-2.3864338,0.0027275085,0
157,-1.4099132,-1.4172502,0.007336974,0
158,-1.4816875,-1.4895308,0.007843256,0
159,-2.4763167,-2.4697154,0.0066013336,0
160,-1.3842767,-1.3934288,0.009152055,0
161,6.573789e-07,-0.13295825,0.1329589,0
162,-2.3020012,-2.2976687,0.0043325424,0
163,-1.4201639,-1.4276586,0.007494688,0
164,-1.086914,-1.109928,0.023014069,0
165,-2.650637,-2.7120697,0.06143284,0
166,-1.004884,-1.0378288,0.0329448,0
167,-0.03589132,-0.16054836,0.124657035,0
168,-0.041016698,-0.16483304,0.12381634,0
169,-2.7224112,-2.7147686,0.0076425076,0
170,-2.5942385,-2.5862854,0.007953167,0
171,-1.522705,-1.5280644,0.0053594112,0
172,-7.593018,-7.489388,0.103630066,0
173,-0.6152358,-0.6435711,0.028335273,0
174,-2.5737324,-2.5670974,0.0066349506,0
175,-2.3122568,-2.3074706,0.004786253,0
176,-0.020505633,-0.14932317,0.12881753,0
177,-1.5329604,-1.5408515,0.007891059,0
178,-0.056397613,-0.17631619,0.11991857,0
179,-0.69214034,-0.7178485,0.025708139,0
180,-2.1430666,-2.139938,0.0031285286,0
181,-2.8249524,-2.8154275,0.009524822,0
182,-0.76904494,-0.7910272,0.021982253,0
183,-2.2250967,-2.2208502,0.0042464733,0
184,6.573789e-07,-0.13295825,0.1329589,0
185,-0.041016698,-0.16442703,0.12341033,0
186,-1.661133,-1.6650691,0.0039360523,0
187,-2.6608877,-2.6524472,0.008440495,0
188,-0.051272232,-0.17291996,0.12164773,0
189,-2.2917457,-2.2888176,0.0029280186,0
190,-1.425294,-1.432655,0.007360935,0
191,-2.4096677,-2.4031188,0.0065488815,0
192,-2.7788095,-2.769347,0.009462595,0
193,-2.2558584,-2.2540052,0.0018532276,0
194,-0.6665039,-0.69166267,0.025158763,0
195,-2.1687033,-2.1667113,0.0019919872,0
196,-1.3535149,-1.3643054,0.010790467,0
197,-1.4201639,-1.4304051,0.01024127,0
198,-1.5329604,-1.5405171,0.007556677,0
199,-0.020505633,-0.14871652,0.12821089,0
200,-0.03589132,-0.16054836,0.124657035,0
201,-0.651123,-0.6771464,0.026023388,0
202,-0.7946766,-0.817213,0.022536397,0
203,6.573789e-07,-0.13295825,0.1329589,0
204,-2.4096677,-2.4028609,0.0068068504,0
205,-0.6665039,-0.6913713,0.024867415,0
206,-2.2250967,-2.220812,0.0042846203,0
207,-2.3122568,-2.3074849,0.004771948,0
208,-1.5842285,-1.5896835,0.005455017,0
209,-1.4714367,-1.4801351,0.008698344,0
210,-0.051272232,-0.17237543,0.1211032,0
211,-0.78442585,-0.80766916,0.023243308,0
212,-2.260984,-2.258328,0.002655983,0
213,-2.701905,-2.6961157,0.00578928,0
214,-2.348144,-2.3425887,0.0055553913,0
215,-1.5534667,-1.5603642,0.0068975687,0
216,-0.6767594,-0.70142144,0.024662018,0
217,-2.6813939,-2.6750267,0.0063672066,0
218,-2.178954,-2.1776214,0.0013325214,0
219,-2.1430666,-2.1861763,0.043109655,0
220,-1.6816394,-1.6840326,0.0023931265,0
221,-2.2507331,-2.2471983,0.0035347939,0
222,-2.2558584,-2.2533174,0.0025410652,0
223,-2.614745,-2.6084588,0.0062861443,0
224,-2.3378932,-2.3319416,0.005951643,0
225,-1.4611813,-1.4690723,0.007891059,0
226,-2.3020012,-2.2985668,0.0034344196,0
227,6.573789e-07,-0.13295825,0.1329589,0
228,-0.63574207,-0.66338474,0.027642667,0
229,-1.661133,-1.691102,0.029968977,0
230,-0.717772,-0.74205667,0.02428466,0
231,-1.3740212,-1.3842958,0.010274649,0
232,-0.69214034,-0.7179105,0.025770187,0
233,-1.3535149,-1.3636175,0.01010263,0
234,-2.7788095,-2.7708516,0.007957935,0
235,-2.2712395,-2.267442,0.0037975311,0
236,-0.7331529,-0.7576143,0.024461389,0
237,-2.2866204,-2.2817528,0.0048675537,0
238,-1.4150385,-1.4261491,0.011110663,0
239,-1.994383,-1.9923385,0.0020444393,0
240,-0.025635788,-0.15277192,0.12713613,0
241,-1.404783,-1.4131948,0.008411765,0
242,-0.7382831,-0.76134014,0.023057044,0
243,-1.522705,-1.5290579,0.0063529015,0
244,-0.10766573,-0.21761537,0.10994963,0
245,-0.76391476,-0.78664696,0.022732198,0
246,-2.266114,-2.2638068,0.0023071766,0
247,-0.5998549,-0.6307648,0.030909896,0
248,-1.6201158,-1.6236601,0.0035443306,0
249,-2.6762686,-2.6654541,0.010814428,0
250,-0.717772,-0.7419229,0.024150908,0
251,-0.6152358,-0.6442637,0.02902788,0
252,-2.1430666,-2.138978,0.00408864,0
253,-1.3791513,-1.3887142,0.00956285,0
254,-1.3791513,-1.3885471,0.009395719,0
255,-1.6867696,-1.8527067,0.16593707,1
256,-1.3381339,-1.3489962,0.010862231,0
257,-0.7229022,-0.7472346,0.024332404,0
258,-1.4919431,-1.4993278,0.007384658,0
259,-1.3945322,-1.4039423,0.009410143,0
260,-0.7331529,-0.7567689,0.023615956,0
261,-1.4919431,-1.6140112,0.12206805,0
262,-1.5637223,-1.5700991,0.0063768625,0
263,-1.6406268,-1.645523,0.004896164,0
264,-2.348144,-2.3427606,0.0053834915,0
265,-1.4714367,-1.4801017,0.008664966,0
266,-1.3791513,-1.390047,0.01089561,0
267,-2.2097158,-2.207829,0.0018868446,0
268,-2.6967747,-2.6897197,0.007055044,0
269,-1.389402,-1.3977469,0.008344889,0
270,-1.8713357,-1.8697021,0.0016336441,0
271,-1.4201639,-1.4304863,0.010322452,0
272,-1.5329604,-1.5399296,0.0069692135,0
273,-0.9433603,-0.9630546,0.019694269,0
274,-1.6047349,-1.6092535,0.004518628,0
275,-1.440675,-1.4470614,0.0063863993,0
276,-0.5998549,-0.63097495,0.031120062,0
277,-2.0815432,-2.078959,0.002584219,0
278,-2.5737324,-2.566639,0.0070934296,0
279,-2.2302268,-2.2275233,0.0027034283,0
